LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Cost,Flag Codes
AUS,TRADEGOOD,EXP,MLN_USD,A,2013,254201.7,
AUS,TRADEGOOD,EXP,MLN_USD,A,2014,240425.8,
AUS,TRADEGOOD,EXP,MLN_USD,A,2015,188096.6,
AUS,TRADEGOOD,EXP,MLN_USD,A,2016,192569.5,
AUS,TRADEGOOD,EXP,MLN_USD,A,2017,231442.9,
AUT,TRADEGOOD,EXP,MLN_USD,A,2013,164204.7,
AUT,TRADEGOOD,EXP,MLN_USD,A,2014,167318.3,
AUT,TRADEGOOD,EXP,MLN_USD,A,2015,142823,
AUT,TRADEGOOD,EXP,MLN_USD,A,2016,142571.8,
AUT,TRADEGOOD,EXP,MLN_USD,A,2017,156436.6,
AUT,TRADEGOOD,IMP,MLN_USD,A,2013,165526.9,
AUT,TRADEGOOD,IMP,MLN_USD,A,2014,166206.5,
AUT,TRADEGOOD,IMP,MLN_USD,A,2015,140503.4,
AUT,TRADEGOOD,IMP,MLN_USD,A,2016,142235.6,
AUT,TRADEGOOD,IMP,MLN_USD,A,2017,157799.4,
BEL,TRADEGOOD,EXP,MLN_USD,A,2013,312609.5,
BEL,TRADEGOOD,EXP,MLN_USD,A,2014,310312.5,
BEL,TRADEGOOD,EXP,MLN_USD,A,2015,253439,
BEL,TRADEGOOD,EXP,MLN_USD,A,2016,274433.3,
BEL,TRADEGOOD,EXP,MLN_USD,A,2017,300584.9,
BEL,TRADEGOOD,IMP,MLN_USD,A,2013,321398.8,
BEL,TRADEGOOD,IMP,MLN_USD,A,2014,317347.2,
BEL,TRADEGOOD,IMP,MLN_USD,A,2015,251903.7,
BEL,TRADEGOOD,IMP,MLN_USD,A,2016,273182.6,
BEL,TRADEGOOD,IMP,MLN_USD,A,2017,300332.4,
CAN,TRADEGOOD,EXP,MLN_USD,A,2013,465209.2,
CAN,TRADEGOOD,EXP,MLN_USD,A,2014,479168,
CAN,TRADEGOOD,EXP,MLN_USD,A,2015,410688.3,
CAN,TRADEGOOD,EXP,MLN_USD,A,2016,393440,
CAN,TRADEGOOD,EXP,MLN_USD,A,2017,423402.5,
CAN,TRADEGOOD,IMP,MLN_USD,A,2013,473116.9,
CAN,TRADEGOOD,IMP,MLN_USD,A,2014,474937.9,
CAN,TRADEGOOD,IMP,MLN_USD,A,2015,429256.3,
CAN,TRADEGOOD,IMP,MLN_USD,A,2016,412960,
CAN,TRADEGOOD,IMP,MLN_USD,A,2017,441856.4,
CZE,TRADEGOOD,EXP,MLN_USD,A,2013,137083.5,
CZE,TRADEGOOD,EXP,MLN_USD,A,2014,146442.3,
CZE,TRADEGOOD,EXP,MLN_USD,A,2015,128213.8,
CZE,TRADEGOOD,EXP,MLN_USD,A,2016,130560.7,
CZE,TRADEGOOD,EXP,MLN_USD,A,2017,144470.9,
CZE,TRADEGOOD,IMP,MLN_USD,A,2013,128547.3,
CZE,TRADEGOOD,IMP,MLN_USD,A,2014,135846.1,
CZE,TRADEGOOD,IMP,MLN_USD,A,2015,120568.1,
CZE,TRADEGOOD,IMP,MLN_USD,A,2016,120508.1,
CZE,TRADEGOOD,IMP,MLN_USD,A,2017,134167.5,
DNK,TRADEGOOD,EXP,MLN_USD,A,2013,116851.2,
DNK,TRADEGOOD,EXP,MLN_USD,A,2014,119208.8,
DNK,TRADEGOOD,EXP,MLN_USD,A,2015,103383.3,
DNK,TRADEGOOD,EXP,MLN_USD,A,2016,104098.7,
DNK,TRADEGOOD,EXP,MLN_USD,A,2017,113337.7,
DNK,TRADEGOOD,IMP,MLN_USD,A,2013,101583.3,
DNK,TRADEGOOD,IMP,MLN_USD,A,2014,103322.9,
DNK,TRADEGOOD,IMP,MLN_USD,A,2015,87586.95,
DNK,TRADEGOOD,IMP,MLN_USD,A,2016,86841.75,
DNK,TRADEGOOD,IMP,MLN_USD,A,2017,94758.8,
FIN,TRADEGOOD,EXP,MLN_USD,A,2013,78498.85,
FIN,TRADEGOOD,EXP,MLN_USD,A,2014,75360.71,
FIN,TRADEGOOD,EXP,MLN_USD,A,2015,59091.36,
FIN,TRADEGOOD,EXP,MLN_USD,A,2016,59018.13,
FIN,TRADEGOOD,EXP,MLN_USD,A,2017,67613.02,
FIN,TRADEGOOD,IMP,MLN_USD,A,2013,75099.13,
FIN,TRADEGOOD,IMP,MLN_USD,A,2014,72985.74,
FIN,TRADEGOOD,IMP,MLN_USD,A,2015,57120.09,
FIN,TRADEGOOD,IMP,MLN_USD,A,2016,58175.47,
FIN,TRADEGOOD,IMP,MLN_USD,A,2017,65136.44,
FRA,TRADEGOOD,EXP,MLN_USD,A,2013,582088.6,
FRA,TRADEGOOD,EXP,MLN_USD,A,2014,580107.3,
FRA,TRADEGOOD,EXP,MLN_USD,A,2015,521999.2,
FRA,TRADEGOOD,EXP,MLN_USD,A,2016,520507.2,
FRA,TRADEGOOD,EXP,MLN_USD,A,2017,553317.6,
FRA,TRADEGOOD,IMP,MLN_USD,A,2013,638702.4,
FRA,TRADEGOOD,IMP,MLN_USD,A,2014,636165.7,
FRA,TRADEGOOD,IMP,MLN_USD,A,2015,554019.8,
FRA,TRADEGOOD,IMP,MLN_USD,A,2016,558713.2,
FRA,TRADEGOOD,IMP,MLN_USD,A,2017,607623.3,
DEU,TRADEGOOD,EXP,MLN_USD,A,2013,1433978,
DEU,TRADEGOOD,EXP,MLN_USD,A,2014,1479837,
DEU,TRADEGOOD,EXP,MLN_USD,A,2015,1308044,
DEU,TRADEGOOD,EXP,MLN_USD,A,2016,1318238,
DEU,TRADEGOOD,EXP,MLN_USD,A,2017,1431690,
DEU,TRADEGOOD,IMP,MLN_USD,A,2013,1151670,
DEU,TRADEGOOD,IMP,MLN_USD,A,2014,1177082,
DEU,TRADEGOOD,IMP,MLN_USD,A,2015,1018362,
DEU,TRADEGOOD,IMP,MLN_USD,A,2016,1021871,
DEU,TRADEGOOD,IMP,MLN_USD,A,2017,1132559,
GRC,TRADEGOOD,EXP,MLN_USD,A,2013,35704.34,
GRC,TRADEGOOD,EXP,MLN_USD,A,2014,35538.24,
GRC,TRADEGOOD,EXP,MLN_USD,A,2015,27496.76,
GRC,TRADEGOOD,EXP,MLN_USD,A,2016,27077.85,
GRC,TRADEGOOD,EXP,MLN_USD,A,2017,31483.23,
GRC,TRADEGOOD,IMP,MLN_USD,A,2013,63284.41,
GRC,TRADEGOOD,IMP,MLN_USD,A,2014,65066.09,
GRC,TRADEGOOD,IMP,MLN_USD,A,2015,46612.59,
GRC,TRADEGOOD,IMP,MLN_USD,A,2016,45417.27,
GRC,TRADEGOOD,IMP,MLN_USD,A,2017,52171.82,
HUN,TRADEGOOD,EXP,MLN_USD,A,2013,93309.71,
HUN,TRADEGOOD,EXP,MLN_USD,A,2014,97955.26,
HUN,TRADEGOOD,EXP,MLN_USD,A,2015,88384.48,
HUN,TRADEGOOD,EXP,MLN_USD,A,2016,88601.56,
HUN,TRADEGOOD,EXP,MLN_USD,A,2017,98600.55,
HUN,TRADEGOOD,IMP,MLN_USD,A,2013,88874.84,
HUN,TRADEGOOD,IMP,MLN_USD,A,2014,95127.7,
HUN,TRADEGOOD,IMP,MLN_USD,A,2015,83486.89,
HUN,TRADEGOOD,IMP,MLN_USD,A,2016,83487.52,
HUN,TRADEGOOD,IMP,MLN_USD,A,2017,96097.92,
ISL,TRADEGOOD,EXP,MLN_USD,A,2013,4592.362,
ISL,TRADEGOOD,EXP,MLN_USD,A,2014,4870.38,
ISL,TRADEGOOD,EXP,MLN_USD,A,2015,4658.077,
ISL,TRADEGOOD,EXP,MLN_USD,A,2016,4470.712,
ISL,TRADEGOOD,EXP,MLN_USD,A,2017,4964.548,
ISL,TRADEGOOD,IMP,MLN_USD,A,2013,4528.393,
ISL,TRADEGOOD,IMP,MLN_USD,A,2014,4958.821,
ISL,TRADEGOOD,IMP,MLN_USD,A,2015,4927.501,
ISL,TRADEGOOD,IMP,MLN_USD,A,2016,5312.492,
ISL,TRADEGOOD,IMP,MLN_USD,A,2017,6506.975,
IRL,TRADEGOOD,EXP,MLN_USD,A,2013,131066.4,
IRL,TRADEGOOD,EXP,MLN_USD,A,2014,151866.4,
IRL,TRADEGOOD,EXP,MLN_USD,A,2015,222227.1,
