Country,Sex,Year,Parttime_rate,Selfemp_rate,GDP Value,Export,Import,Cost
HUN,MEN,2013,-1.261207052,-0.413181977,-0.463960339,1,0,-0.566249253
MEX,MEN,2015,-0.425201701,1.361499326,0.11111552,1,0,0.150067304
PRT,WOMEN,2013,-0.257560215,-0.057452711,-0.449127052,0,1,-0.61849408
AUT,TOT,2013,0.282380048,-0.479479411,-0.414944127,1,0,-0.389714013
PRT,MEN,2016,-0.947920159,0.388229742,-0.441727579,0,1,-0.636823791
TUR,WOMEN,2014,0.355461717,2.164959757,0.015904141,0,1,-0.219605434
AUT,MEN,2016,-0.780878594,-0.290547951,-0.404500188,0,1,-0.444419153
FRA,WOMEN,2014,0.529234455,-0.982349896,0.257775538,0,1,0.785513578
FRA,MEN,2016,-0.932931032,-0.304187116,0.28853917,0,1,0.592649517
FIN,MEN,2016,-0.588095862,0.035568567,-0.464934662,1,0,-0.651638535
COL,WOMEN,2013,1.085514173,3.392962482,-0.356468631,1,0,-0.648490632
JPN,TOT,2015,0.546423802,-0.697312841,1.0077818,0,1,0.768698218
ITA,TOT,2015,0.168392738,0.633447025,0.127488782,0,1,0.181680551
AUS,MEN,2016,-0.169487087,-0.6282818,-0.18385664,0,1,-0.304268156
NZL,MEN,2015,-0.536814272,-0.03313894,-0.484240462,1,0,-0.712889636
POL,MEN,2013,-1.167004973,0.649983057,-0.255699552,0,1,-0.304394902
IRL,WOMEN,2013,1.817265109,-0.969228484,-0.469992547,1,0,-0.472231519
AUT,TOT,2014,0.383643219,-0.470824648,-0.411787358,0,1,-0.384729342
BEL,TOT,2016,0.085683165,-0.31675912,-0.379275444,1,0,-0.115234359
NLD,TOT,2013,2.041055499,-0.195704931,-0.289355319,1,0,0.61417788
AUS,TOT,2014,0.785544243,-0.780379251,-0.203219614,1,0,-0.199916255
CAN,MEN,2016,-0.400844933,-0.893661176,-0.051397169,0,1,0.229710244
TUR,WOMEN,2013,0.722489432,2.528687759,-0.031864284,0,1,-0.196727689
TUR,WOMEN,2013,0.722489432,2.528687759,-0.031864284,1,0,-0.395737303
EU28,WOMEN,2014,1.021030975,-0.57441302,5.155357435,1,0,4.813713154
ISR,TOT,2013,-0.089351053,-0.540080669,-0.454104967,1,0,-0.641566426
FIN,MEN,2015,-0.590741828,0.072803758,-0.467385918,0,1,-0.656364835
NZL,TOT,2014,0.43610736,-0.273637615,-0.485994267,1,0,-0.69414383
CAN,WOMEN,2013,0.926021745,-0.985804435,-0.073792166,1,0,0.359815701
TUR,TOT,2015,-0.657548504,1.4777702,0.043824967,1,0,-0.420174097
FIN,WOMEN,2014,-0.009978495,-0.864483655,-0.468590854,0,1,-0.616857863
BEL,TOT,2015,0.121320639,-0.282686591,-0.383436619,0,1,-0.171335197
SVN,WOMEN,2013,-0.537366471,-0.441280589,-0.517832601,1,0,-0.726894028
COL,WOMEN,2016,0.869697395,3.168899295,-0.33243305,1,0,-0.713710097
ISR,WOMEN,2013,0.612006305,-0.901249075,-0.454104967,1,0,-0.641566426
ISR,MEN,2013,-0.703115576,-0.222353119,-0.454104967,1,0,-0.641566426
RUS,WOMEN,2014,-1.084192102,-1.171043037,0.587845058,0,1,-0.031960363
FIN,TOT,2015,-0.325728129,-0.378219483,-0.467385918,1,0,-0.651456186
JPN,WOMEN,2015,1.884459208,-0.824908374,1.0077818,1,0,0.750460266
LTU,TOT,2016,-0.933481935,-0.565740338,-0.510593804,1,0,-0.738233521
DEU,MEN,2015,-0.714290743,-0.462006625,0.628624304,0,1,1.737218565
SWE,TOT,2015,-0.256497231,-0.772865316,-0.396177543,0,1,-0.453458944
EU28,TOT,2015,0.034072344,-0.191172479,5.316719935,0,1,3.912087209
NZL,WOMEN,2016,1.43514093,-0.36541354,-0.480899782,0,1,-0.7101209
BRA,TOT,2015,0.099813372,1.485589749,0.422273968,0,1,-0.36925166
ESP,WOMEN,2015,0.585123402,-0.518108283,-0.053854459,0,1,-0.04637079
CZE,WOMEN,2016,-0.837611592,-0.476849334,-0.426754981,1,0,-0.47349076
AUT,TOT,2016,0.378926395,-0.527306581,-0.404500188,0,1,-0.444419153
SWE,MEN,2016,-0.635659771,-0.445662722,-0.391409193,0,1,-0.449117713
MEX,MEN,2014,-0.416560495,1.357342173,0.111520252,1,0,0.191585649
BEL,MEN,2016,-0.936400901,0.042755982,-0.379275444,1,0,-0.115234359
AUS,WOMEN,2015,1.987331706,-0.982378965,-0.199620533,1,0,-0.330220919
AUT,WOMEN,2015,1.705770932,-0.759647241,-0.407561556,1,0,-0.442956471
ESP,TOT,2015,-0.22545809,-0.073349641,-0.053854459,0,1,-0.04637079
EU28,WOMEN,2015,1.001298235,-0.599598837,5.316719935,1,0,4.318530429
POL,TOT,2016,-1.027056939,0.268699644,-0.226077383,0,1,-0.317928069
CHE,MEN,2015,-0.565051439,-0.158685761,-0.378920146,1,0,-0.043458126
CAN,TOT,2015,0.19008737,-0.935091746,-0.059012276,0,1,0.270289575
CHE,WOMEN,2014,2.705645052,-0.496726221,-0.384964019,0,1,-0.11615669
DNK,WOMEN,2013,0.737130984,-1.237524935,-0.457890737,1,0,-0.507628713
CHL,MEN,2015,-0.503689425,0.787404045,-0.415431155,0,1,-0.652657407
CHL,TOT,2015,-0.005943571,0.759670777,-0.415431155,1,0,-0.644126019
RUS,MEN,2014,-1.329560276,-0.984350327,0.587845058,0,1,-0.031960363
CAN,TOT,2014,0.228404139,-0.921919862,-0.053722472,0,1,0.384041086
GRC,WOMEN,2015,-0.054842257,1.154299687,-0.449981613,0,1,-0.682529505
NZL,WOMEN,2014,1.494361618,-0.61550174,-0.485994267,1,0,-0.69414383
ESP,WOMEN,2014,0.631280825,-0.503539333,-0.068845794,1,0,-0.007955103
ITA,MEN,2015,-0.787771876,1.065723257,0.127488782,0,1,0.181680551
AUT,WOMEN,2013,1.558149118,-0.743471575,-0.414944127,1,0,-0.389714013
POL,MEN,2014,-1.189665169,0.6230193,-0.245897426,1,0,-0.274499074
IRL,WOMEN,2016,1.685814874,-0.975803475,-0.435749591,1,0,-0.270657107
FIN,WOMEN,2015,-0.047286351,-0.85226704,-0.467385918,1,0,-0.651456186
TUR,MEN,2014,-0.986444265,1.340473648,0.015904141,0,1,-0.219605434
HUN,TOT,2014,-1.163837124,-0.704171745,-0.461030955,1,0,-0.554681394
GRC,TOT,2015,-0.541096722,1.686253022,-0.449981613,0,1,-0.682529505
SVN,TOT,2015,-0.7252397,-0.150868203,-0.516772112,0,1,-0.736273667
SWE,TOT,2016,-0.288365853,-0.799305148,-0.391409193,0,1,-0.449117713
FRA,WOMEN,2016,0.485784951,-0.954076875,0.28853917,1,0,0.497512959
LTU,MEN,2015,-1.19782192,-0.339778758,-0.511201764,1,0,-0.736973683
ESP,TOT,2015,-0.22545809,-0.073349641,-0.053854459,1,0,-0.10798146
NLD,MEN,2015,0.248214097,0.179093881,-0.283521391,0,1,0.176291239
HUN,MEN,2016,-1.341519491,-0.509612798,-0.457988046,0,1,-0.590707437
CHL,TOT,2015,-0.005943571,0.759670777,-0.415431155,0,1,-0.652657407
CAN,MEN,2013,-0.442881931,-0.849548167,-0.073792166,1,0,0.359815701
ITA,WOMEN,2016,1.484610453,0.006548134,0.157824871,1,0,0.33042835
TUR,TOT,2013,-0.433821773,1.782771446,-0.031864284,1,0,-0.395737303
ESP,TOT,2016,-0.257770934,-0.107268865,-0.032831493,0,1,-0.051459298
AUT,MEN,2015,-0.779638651,-0.268060898,-0.407561556,1,0,-0.442956471
KOR,WOMEN,2015,-0.100688868,0.590865074,-0.000531454,1,0,0.553226338
RUS,MEN,2015,-1.315823337,-0.987253963,0.541994318,1,0,0.051566627
ITA,TOT,2014,0.184456786,0.663343486,0.117807902,0,1,0.331660449
EU28,TOT,2014,0.039893867,-0.15872359,5.155357435,1,0,4.813713154
CAN,WOMEN,2015,0.896543525,-0.996567241,-0.059012276,1,0,0.224053496
KOR,TOT,2013,-0.551012346,0.934929225,-0.045606632,1,0,0.740669961
GRC,MEN,2014,-0.8783512,2.183846134,-0.448953314,0,1,-0.636578542
POL,WOMEN,2015,-0.686886669,-0.038450858,-0.234848712,1,0,-0.32291025
IRL,WOMEN,2013,1.817265109,-0.969228484,-0.469992547,0,1,-0.586291005
AUS,TOT,2013,0.755017261,-0.788658715,-0.207266694,1,0,-0.165612959
JPN,WOMEN,2014,1.916203284,-0.775907524,0.951034924,1,0,0.944030767
FIN,MEN,2013,-0.684015944,-0.018379852,-0.46915627,0,1,-0.611595322
TUR,TOT,2015,-0.657548504,1.4777702,0.043824967,0,1,-0.300364933
NLD,MEN,2016,0.172692471,0.185520744,-0.277369154,0,1,0.179493998
JPN,TOT,2015,0.546423802,-0.697312841,1.0077818,1,0,0.750460266
RUS,TOT,2016,-1.183177551,-1.047743826,0.548208228,0,1,-0.321760325
NLD,TOT,2016,1.96151515,-0.119838877,-0.277369154,0,1,0.179493998
ISR,TOT,2014,-0.082548527,-0.547302926,-0.45261891,1,0,-0.638688623
CHL,WOMEN,2016,0.769983867,0.793288368,-0.410742942,0,1,-0.660913964
BEL,TOT,2015,0.121320639,-0.282686591,-0.383436619,1,0,-0.167512154
FIN,WOMEN,2016,0.074222341,-0.85995638,-0.464934662,1,0,-0.651638535
ITA,MEN,2014,-0.775043605,1.109910927,0.117807902,1,0,0.488286162
NZL,MEN,2013,-0.552023491,0.075014734,-0.48815487,1,0,-0.699754635
SVN,TOT,2016,-0.837910689,-0.380653448,-0.515985186,1,0,-0.729783634
KOR,MEN,2015,-0.949822827,1.035795935,-0.000531454,1,0,0.553226338
DEU,MEN,2016,-0.732608294,-0.515485175,0.665871634,0,1,1.745956307
DNK,MEN,2013,-0.248168028,-0.589135275,-0.457890737,1,0,-0.507628713
CZE,TOT,2013,-1.126323561,-0.015478008,-0.440543253,1,0,-0.45724837
DNK,MEN,2014,-0.21730769,-0.611612373,-0.455516036,0,1,-0.541315462
MEX,WOMEN,2013,1.009783826,1.572495752,0.07956706,0,1,0.151715996
SWE,WOMEN,2015,0.107414101,-1.173860862,-0.396177543,0,1,-0.453458944
CHL,MEN,2013,-0.522443768,0.761259574,-0.418546313,1,0,-0.607434847
NLD,WOMEN,2016,4.040367459,-0.475870771,-0.277369154,1,0,0.360421292
POL,MEN,2016,-1.263848529,0.582712037,-0.226077383,0,1,-0.317928069
ISR,WOMEN,2016,0.556394548,-0.877967126,-0.441177389,0,1,-0.639476987
SWE,WOMEN,2016,0.090808134,-1.184774683,-0.391409193,1,0,-0.419362326
COL,WOMEN,2014,0.919113339,3.255260767,-0.345216598,1,0,-0.656915992
CHL,TOT,2014,0.012895584,0.781908958,-0.415432347,1,0,-0.611681056
LTU,WOMEN,2016,-0.715658873,-0.844308023,-0.510593804,1,0,-0.738233521
IRL,MEN,2013,-0.35219322,0.616434154,-0.469992547,0,1,-0.586291005
PRT,WOMEN,2016,-0.508525772,-0.46034914,-0.441727579,1,0,-0.663382967
PRT,WOMEN,2014,-0.376426495,-0.314703439,-0.446967138,0,1,-0.610996828
DEU,TOT,2015,0.521349762,-0.723181562,0.628624304,0,1,1.737218565
DNK,WOMEN,2016,0.923459779,-1.202413814,-0.452382147,0,1,-0.582355086
ITA,TOT,2013,0.155513265,0.677314149,0.112918433,1,0,0.45448462
NOR,TOT,2014,0.182300994,-1.075911326,-0.434995603,0,1,-0.572637118
AUS,TOT,2015,0.788640781,-0.770415423,-0.199620533,1,0,-0.330220919
CAN,TOT,2016,0.218795236,-0.939549238,-0.051397169,1,0,0.181103596
HUN,TOT,2013,-1.125801166,-0.671119591,-0.463960339,0,1,-0.5772925
BRA,TOT,2014,0.018706568,1.419339103,0.449998875,0,1,-0.224067186
HUN,TOT,2016,-1.214950308,-0.724704657,-0.457988046,1,0,-0.577972993
RUS,WOMEN,2013,-1.045030643,-1.156928626,0.586917056,1,0,0.500820552
DNK,MEN,2014,-0.21730769,-0.611612373,-0.455516036,1,0,-0.501758066
NLD,TOT,2014,2.018753081,-0.139613228,-0.288507541,1,0,0.620915828
FRA,WOMEN,2016,0.485784951,-0.954076875,0.28853917,0,1,0.592649517
KOR,MEN,2014,-0.9583183,1.137288807,-0.027807812,1,0,0.727880087
NOR,WOMEN,2013,1.119977355,-1.355954323,-0.434553271,0,1,-0.570435102
LTU,TOT,2013,-0.904745625,-0.621647876,-0.512621315,0,1,-0.71623453
KOR,TOT,2015,-0.594837197,0.782973133,-0.000531454,0,1,0.248764449
ITA,MEN,2014,-0.775043605,1.109910927,0.117807902,0,1,0.331660449
CZE,TOT,2016,-1.121860116,-0.085447793,-0.426754981,0,1,-0.498522686
COL,TOT,2016,-0.092599244,3.362375153,-0.33243305,1,0,-0.713710097
CHL,MEN,2013,-0.522443768,0.761259574,-0.418546313,0,1,-0.612453484
COL,TOT,2013,0.087076778,3.507917323,-0.356468631,1,0,-0.648490632
PRT,TOT,2016,-0.729342952,-0.025365183,-0.441727579,0,1,-0.636823791
IRL,TOT,2015,0.603318074,-0.167564508,-0.439816349,0,1,-0.558462802
KOR,WOMEN,2015,-0.100688868,0.590865074,-0.000531454,0,1,0.248764449
GBR,TOT,2014,0.681002897,-0.278026717,0.251377111,1,0,0.403129156
RUS,TOT,2015,-1.190292912,-1.075953535,0.541994318,1,0,0.051566627
BEL,TOT,2013,0.126952657,-0.292549875,-0.390994747,1,0,-0.020172005
BEL,WOMEN,2016,1.239183624,-0.734705318,-0.379275444,0,1,-0.11834872
HUN,WOMEN,2014,-1.020212459,-1.017798088,-0.461030955,1,0,-0.554681394
ISR,TOT,2013,-0.089351053,-0.540080669,-0.454104967,0,1,-0.62281925
SWE,TOT,2016,-0.288365853,-0.799305148,-0.391409193,1,0,-0.419362326
ESP,MEN,2015,-0.914425862,0.296010826,-0.053854459,0,1,-0.04637079
EU28,MEN,2013,-0.802194543,0.206247776,4.984686729,0,1,4.628323112
JPN,TOT,2013,0.472694254,-0.648139772,0.945214958,0,1,1.155816559
CHL,WOMEN,2013,0.697597494,0.701626924,-0.418546313,0,1,-0.612453484
COL,MEN,2013,-0.626064404,3.476288714,-0.356468631,0,1,-0.656407216
ITA,WOMEN,2015,1.497485209,0.030485611,0.127488782,0,1,0.181680551
AUT,TOT,2013,0.282380048,-0.479479411,-0.414944127,0,1,-0.38642161
NLD,TOT,2015,2.038282504,-0.117115225,-0.283521391,0,1,0.176291239
SWE,WOMEN,2015,0.107414101,-1.173860862,-0.396177543,1,0,-0.419099123
AUS,WOMEN,2013,2.002801481,-1.008386059,-0.207266694,1,0,-0.165612959
SVN,WOMEN,2015,-0.452077862,-0.452235922,-0.516772112,1,0,-0.732195938
GBR,TOT,2014,0.681002897,-0.278026717,0.251377111,0,1,0.903600593
NOR,TOT,2015,0.238570273,-1.094430966,-0.440597513,1,0,-0.540556979
FRA,MEN,2014,-0.953282687,-0.318128909,0.257775538,0,1,0.785513578
CAN,WOMEN,2013,0.926021745,-0.985804435,-0.073792166,0,1,0.379506623
GRC,MEN,2015,-0.896590633,2.074933898,-0.449981613,0,1,-0.682529505
NZL,WOMEN,2016,1.43514093,-0.36541354,-0.480899782,1,0,-0.714836342
GBR,WOMEN,2016,1.942478562,-0.71261646,0.30098452,1,0,0.206485131
DEU,MEN,2016,-0.732608294,-0.515485175,0.665871634,1,0,2.483938207
AUT,MEN,2014,-0.789811508,-0.225384376,-0.411787358,1,0,-0.381960854
AUT,MEN,2016,-0.780878594,-0.290547951,-0.404500188,1,0,-0.443581983
NLD,MEN,2014,0.238477242,0.193007801,-0.288507541,1,0,0.620915828
BEL,WOMEN,2014,1.281621062,-0.712562704,-0.387038418,1,0,-0.025891753
IRL,TOT,2014,0.615959947,-0.141760494,-0.465026731,1,0,-0.420437549
LTU,TOT,2014,-0.905601868,-0.588934186,-0.511498905,0,1,-0.716974363
EU28,MEN,2014,-0.797331293,0.194034147,5.155357435,0,1,4.649075562
EU28,TOT,2013,0.053627404,-0.14961588,4.984686729,1,0,4.766784829
