Country,Sex,1995_fte,1996_fte,1997_fte,1998_fte,1999_fte,2000_fte,2001_fte,2002_fte,2003_fte,2004_fte,2005_fte,2006_fte,2007_fte,2008_fte,2009_fte,2010_fte,2011_fte,2012_fte,2013_fte,2014_fte,2015_fte,2016_fte
Australia,Men,,,,,,,80.3,80.2,80.5,80.8,81.6,81.4,82.3,82.3,79.4,80,80.2,79.8,78.7,77.7,77.9,77.2
Australia,Women,,,,,,,47.9,48,48.7,49,50.2,51,51.8,52.4,51.6,51.3,51.8,51.8,51.7,51.1,52.1,52.3
Austria,Men,80.6,79.6,79.7,79.2,79.9,79.6,78.4,78.1,77.9,80.4,80.4,81.5,82.4,82,80,79.8,80,79.6,78.4,76.9,76.5,76.7
Austria,Women,52.9,52.4,52.6,52,52.1,52.1,51.9,52.6,52.7,51.3,51.8,52.5,53.3,54.1,53.7,53.8,54,54.3,54.1,53.5,53.5,54
Belgium,Men,67.9,67.4,68.1,69,68.6,70.7,70.1,69.7,68.4,68.9,69.2,68.7,69.7,69,67.5,68.2,67.9,67.8,67.9,66.9,66.4,67.2
Belgium,Women,38.1,37.9,38.9,39.9,41,42,41.7,42.6,42.4,42.6,43.9,43.7,45.4,45.8,45.9,46.4,46.3,46.5,47.2,48,48.2,48.2
Chile,Men,,92,90.5,90.6,85.9,85.2,84.4,83.9,83.9,83.2,80.7,82.4,82.6,82.6,79.2,81.6,83.2,83.1,82.9,81.2,81,79.5
Chile,Women,,39.8,40.4,41.2,40,40.2,39.5,39.7,40.7,41.4,41.5,42.7,43.7,45.3,44.7,45.2,47.6,48.9,49.6,49.9,49.8,49.6
Czech Republic,Men,,,,,,,,80.8,80.5,,79.5,79.9,81.1,81.7,79.5,78.6,78.9,79.1,79.5,80.6,81.4,82.7
Czech Republic,Women,,,,,,,,56.4,55.7,,55.7,56,56.5,56.8,55.5,54.9,55.8,56.5,57.3,58.3,60.1,61.8
Denmark,Men,77.8,77,76.6,76.6,78,78.3,78,77.1,76.5,76.4,76.5,77.4,73.9,73.8,69.8,67.8,68.1,67.1,66.9,67.4,68.2,67.7
Denmark,Women,54.1,54.4,56.2,56.4,58.5,58.9,59.5,58.9,57.6,57.6,58.2,59.1,58.2,58.7,57.1,55.4,54.9,54.7,54.8,54.3,54.6,55.1
Estonia,Men,,,,,,67,67.4,66.5,68.1,66.8,67.7,73,75.1,74.8,64.3,61.9,68.1,70.2,71.5,72.7,75.3,74.8
Estonia,Women,,,,,,55.8,56,56,56.9,57.9,60.3,62.5,62.9,63.5,59.3,56.8,58.5,60.5,61.7,62.7,63.6,63.5
Finland,Men,,,,,,,71.5,70.6,70.1,69.7,71,72.1,71.7,72.7,67.7,68.5,69.5,69.4,67.4,67.7,67.4,68.4
Finland,Women,,,,,,,58.4,59.4,58.7,58.3,59.9,60.3,60.3,61,59.7,58.7,59.3,59.6,58.9,59.1,59.1,58.5
France,Men,69.1,68.8,68,68.1,68,68.2,68.3,66.8,72,71.5,71.4,71.2,71.3,71.7,70.4,70.1,69.9,69.6,68.6,67.8,67.5,68
France,Women,44.9,44.9,44.4,44.9,45.3,46.1,46.5,46.6,50,49.8,50.2,50.5,51.5,52.3,51.7,51.8,51.8,51.9,51.8,52.1,52.4,52.8
Germany,Men,75.3,75.2,74.3,74.9,74.9,75,74.4,72.8,70.5,71.3,71.7,73,74.7,75.8,75.6,76.3,77.5,77.7,77.2,77,76.6,77
Germany,Women,45.7,45.9,45.2,45.5,46,46.4,46.3,46.1,45.3,45.5,45.1,46.4,47.6,48.7,49.7,50.4,51.5,51.8,52.3,53,53.2,54.1
Greece,Men,81.9,82.3,81.4,80.6,80.2,80.3,80.1,80.8,82,81.9,82.5,82.7,82.5,82.6,81.3,77.8,71.8,66.1,63.9,63.8,65.7,67.8
Greece,Women,38.4,38.9,39.2,40.2,40.8,42,42,43.3,44.7,45.3,45.9,46.7,46.8,47.7,48,47.2,44.3,40.8,38.9,40.1,41.7,42.5
Hungary,Men,64.3,64.4,64.3,63.6,66,66.6,65.9,65.7,66.3,65.4,65,65.8,65.3,64,61.6,60.6,60.9,62,64.2,68.6,71.2,73.7
Hungary,Women,46,45.7,45.3,47.1,48.8,49.4,49.5,49.5,50.1,49.8,50,50.3,49.8,49.4,48.5,48.9,48.7,49.9,50.8,54.4,56.3,58.7
Iceland,Men,,,,,,108.7,106.1,101.5,101.6,100,103.1,104.5,105.2,101,88.3,87.6,89.1,89.2,91.8,92.5,95.1,96.4
Iceland,Women,,,,,,68.6,69.1,68,72,69.6,70.5,71.8,71.9,71.4,66.7,66.2,67.5,68.6,69.8,70.4,71.7,72.9
Ireland,Men,75.3,75.2,75,77.2,78.7,80.3,80.2,78.1,77.2,77.8,78.5,78.6,78.4,75.7,65.8,62.5,61.3,60.8,63.2,65.3,68.3,69.5
Ireland,Women,35.5,37.5,38.1,39.9,42.1,44,44.3,44.6,44.4,44.7,46.1,46.9,47.7,47.2,44.4,43,42.4,42.7,43.8,44.4,45.4,47.1
Israel,Men,88.2,86.5,84.8,81,80,80.7,79.1,76,75.5,76.8,77.8,78.7,80.9,80.8,77.1,78.2,78.8,79.3,79.1,78.8,79.4,79.5
