,Country,Sex,2011_fte,2012_fte,2013_fte,2014_fte,2015_fte,2016_fte
0,Australia,Men,80.2,79.8,78.7,77.7,77.9,77.2
1,Australia,Women,51.8,51.8,51.7,51.1,52.1,52.3
2,Austria,Men,80.0,79.6,78.4,76.9,76.5,76.7
3,Austria,Women,54.0,54.3,54.1,53.5,53.5,54.0
4,Belgium,Men,67.9,67.8,67.9,66.9,66.4,67.2
5,Belgium,Women,46.3,46.5,47.2,48.0,48.2,48.2
6,Chile,Men,83.2,83.1,82.9,81.2,81.0,79.5
7,Chile,Women,47.6,48.9,49.6,49.9,49.8,49.6
8,Czech Republic,Men,78.9,79.1,79.5,80.6,81.4,82.7
9,Czech Republic,Women,55.8,56.5,57.3,58.3,60.1,61.8
10,Denmark,Men,68.1,67.1,66.9,67.4,68.2,67.7
11,Denmark,Women,54.9,54.7,54.8,54.3,54.6,55.1
12,Estonia,Men,68.1,70.2,71.5,72.7,75.3,74.8
13,Estonia,Women,58.5,60.5,61.7,62.7,63.6,63.5
14,Finland,Men,69.5,69.4,67.4,67.7,67.4,68.4
15,Finland,Women,59.3,59.6,58.9,59.1,59.1,58.5
16,France,Men,69.9,69.6,68.6,67.8,67.5,68.0
17,France,Women,51.8,51.9,51.8,52.1,52.4,52.8
18,Germany,Men,77.5,77.7,77.2,77.0,76.6,77.0
19,Germany,Women,51.5,51.8,52.3,53.0,53.2,54.1
20,Greece,Men,71.8,66.1,63.9,63.8,65.7,67.8
21,Greece,Women,44.3,40.8,38.9,40.1,41.7,42.5
22,Hungary,Men,60.9,62.0,64.2,68.6,71.2,73.7
23,Hungary,Women,48.7,49.9,50.8,54.4,56.3,58.7
24,Iceland,Men,89.1,89.2,91.8,92.5,95.1,96.4
25,Iceland,Women,67.5,68.6,69.8,70.4,71.7,72.9
26,Ireland,Men,61.3,60.8,63.2,65.3,68.3,69.5
27,Ireland,Women,42.4,42.7,43.8,44.4,45.4,47.1
28,Israel,Men,78.8,79.3,79.1,78.8,79.4,79.5
29,Israel,Women,55.9,57.1,57.3,58.5,59.0,59.7
30,Italy,Men,68.2,66.5,64.6,64.7,65.6,66.6
31,Italy,Women,38.5,38.6,38.0,38.2,38.7,39.4
32,Korea,Men,87.0,88.8,85.7,88.4,87.9,86.9
33,Korea,Women,55.4,56.6,55.2,57.0,57.6,57.0
34,Latvia,Men,60.9,63.6,66.2,68.1,69.9,69.2
35,Latvia,Women,57.3,58.5,60.4,61.6,63.3,64.2
36,Lithuania,Men,58.6,60.7,63.2,64.9,66.8,68.7
37,Lithuania,Women,56.8,58.2,59.3,61.2,63.0,65.1
38,Luxembourg,Men,72.3,72.8,72.2,73.1,71.8,71.1
39,Luxembourg,Women,47.0,49.3,49.5,51.1,51.4,51.5
40,Mexico,Men,90.2,90.6,90.4,90.2,90.8,91.3
41,Mexico,Women,41.7,42.6,42.9,42.1,42.6,43.2
42,Netherlands,Men,71.3,70.5,68.5,68.7,68.8,69.8
43,Netherlands,Women,42.8,43.1,42.6,42.4,42.5,43.5
44,New Zealand,Men,82.1,80.9,81.8,82.9,83.0,84.5
45,New Zealand,Women,54.1,53.7,55.3,56.6,56.7,58.4
46,Norway,Men,71.1,71.5,71.1,71.3,70.0,69.3
47,Norway,Women,57.1,58.0,57.7,58.0,57.7,57.8
48,Poland,Men,70.0,70.5,70.9,72.5,73.4,75.1
49,Poland,Women,50.3,51.0,51.3,53.2,54.7,56.2
50,Portugal,Men,69.0,65.6,64.9,67.5,68.3,70.1
51,Portugal,Women,56.0,54.7,54.6,57.1,58.1,59.5
52,Slovak Republic,Men,68.7,69.5,69.2,70.1,71.5,73.2
53,Slovak Republic,Women,51.6,52.1,52.5,53.2,54.4,56.5
54,Slovenia,Men,68.5,68.8,68.1,68.1,69.7,69.8
55,Slovenia,Women,58.3,58.3,56.7,57.1,58.0,59.7
56,Spain,Men,65.9,62.5,61.2,62.7,64.8,66.3
57,Spain,Women,47.0,45.3,44.3,44.9,46.2,47.9
58,Sweden,Men,72.6,72.4,72.8,72.9,73.3,74.0
59,Sweden,Women,60.8,61.5,62.2,62.9,63.8,64.6
60,Switzerland,Men,84.8,84.4,83.6,82.7,82.7,82.5
61,Switzerland,Women,52.9,53.1,53.2,53.7,54.5,55.0
62,Turkey,Men,89.8,88.7,88.3,87.5,87.1,86.1
63,Turkey,Women,28.8,29.7,30.3,30.6,31.8,32.3
64,United Kingdom,Men,77.3,77.5,77.6,79.6,79.9,80.9
65,United Kingdom,Women,50.8,51.2,52.2,53.7,54.5,55.4
66,United States,Men,72.0,73.2,73.4,74.6,75.3,75.8
67,United States,Women,56.1,56.3,56.7,57.4,57.9,58.4
