,GII Rank,Country,Gender Inequality Index (GII),Maternal Mortality Ratio,Adolescent Birth Rate,Percent Representation in Parliament,Population with Secondary Education (Female),Population with Secondary Education (Male),Labour Force Participation Rate (Female),Labour Force Participation Rate (Male)
0,1,Norway,0.067,4.0,7.8,39.6,97.4,96.7,61.2,68.7
1,2,Australia,0.11,6.0,12.1,30.5,94.3,94.6,58.8,71.8
2,3,Switzerland,0.027999999999999997,6.0,1.9,28.5,95.0,96.6,61.8,74.9
3,4,Denmark,0.048,5.0,5.1,38.0,95.5,96.6,58.7,66.4
4,5,Netherlands,0.062,6.0,6.2,36.9,87.7,90.5,58.5,70.6
5,6,Germany,0.040999999999999995,7.0,3.8,36.9,96.3,97.0,53.6,66.4
6,6,Ireland,0.113,9.0,8.2,19.9,80.5,78.6,53.1,68.1
7,8,United States,0.28,28.0,31.0,19.4,95.1,94.8,56.3,68.9
8,9,Canada,0.129,11.0,14.5,28.2,100.0,100.0,61.6,71.0
9,9,New Zealand,0.157,8.0,25.3,31.4,95.0,95.3,62.0,73.8
10,11,Singapore,0.08800000000000001,6.0,6.0,25.3,74.1,81.0,58.8,77.2
13,14,Sweden,0.055,4.0,6.5,43.6,86.5,87.3,60.3,67.9
14,14,United Kingdom,0.177,8.0,25.8,23.5,99.8,99.9,55.7,68.7
15,16,Iceland,0.087,4.0,11.5,41.3,91.0,91.6,70.5,77.4
16,17,Korea (Republic of),0.125,27.0,2.2,16.3,77.0,89.1,50.1,72.1
17,18,Israel,0.10099999999999999,2.0,7.8,22.5,84.4,87.3,57.9,69.1
18,19,Luxembourg,0.1,11.0,8.3,28.3,100.0,100.0,50.7,64.6
19,20,Japan,0.133,6.0,5.4,11.6,87.0,85.8,48.8,70.4
20,21,Belgium,0.063,6.0,6.7,42.4,77.5,82.9,47.5,59.3
21,22,France,0.08800000000000001,12.0,5.7,25.7,78.0,83.2,50.7,61.6
22,23,Austria,0.053,4.0,4.1,30.3,100.0,100.0,54.6,67.7
23,24,Finland,0.075,4.0,9.2,42.5,100.0,100.0,55.7,64.0
24,25,Slovenia,0.016,7.0,0.6,27.7,95.8,98.0,52.3,63.2
25,26,Spain,0.095,4.0,10.6,38.0,66.8,73.1,52.5,65.8
26,27,Italy,0.068,4.0,4.0,30.1,71.2,80.5,39.6,59.5
27,28,Czech Republic,0.091,5.0,4.9,18.9,99.9,99.7,51.1,68.3
28,29,Greece,0.146,5.0,11.9,21.0,59.5,67.0,44.2,62.5
29,30,Estonia,0.16399999999999998,11.0,16.8,19.8,100.0,100.0,56.2,68.9
31,32,Cyprus,0.124,10.0,5.5,12.5,76.0,81.7,56.0,71.1
32,32,Qatar,0.524,6.0,9.5,0.0,66.7,59.0,50.8,95.5
34,35,Slovakia,0.16399999999999998,7.0,15.9,18.7,99.1,99.5,51.1,68.6
35,36,Poland,0.138,3.0,12.2,22.1,79.4,85.5,48.9,64.9
36,37,Lithuania,0.125,11.0,10.6,23.4,89.1,94.3,55.8,67.3
37,37,Malta,0.22699999999999998,9.0,18.2,13.0,68.6,78.2,37.9,66.3
38,39,Saudi Arabia,0.284,16.0,10.2,19.9,60.5,70.3,20.2,78.3
39,40,Argentina,0.376,69.0,54.4,36.8,56.3,57.6,47.5,75.0
40,41,United Arab Emirates,0.23199999999999998,8.0,27.6,17.5,73.1,61.2,46.5,92.0
41,42,Chile,0.33799999999999997,22.0,55.3,15.8,73.3,76.4,49.2,74.8
42,43,Portugal,0.111,8.0,12.6,31.3,47.7,48.2,54.9,66.2
43,44,Hungary,0.209,14.0,12.1,10.1,97.9,98.7,44.8,60.0
44,45,Bahrain,0.265,22.0,13.8,15.0,56.7,51.4,39.2,86.9
45,46,Latvia,0.16699999999999998,13.0,13.5,18.0,98.9,99.0,54.9,67.6
46,47,Croatia,0.149,13.0,12.7,25.8,85.0,93.6,44.7,58.4
47,48,Kuwait,0.387,14.0,14.5,1.5,55.6,56.3,43.6,83.1
48,49,Montenegro,0.171,7.0,15.2,17.3,84.2,94.7,43.0,57.3
49,50,Belarus,0.151,1.0,20.6,30.1,87.0,92.2,50.1,63.1
50,50,Russian Federation,0.276,24.0,25.7,14.5,89.6,92.5,57.1,71.7
51,52,Oman,0.275,11.0,10.6,9.6,47.2,57.1,29.0,82.6
52,52,Romania,0.33299999999999996,33.0,31.0,12.0,86.1,92.0,48.7,64.9
53,52,Uruguay,0.313,14.0,58.3,11.5,54.4,50.3,55.6,76.8
54,55,Bahamas,0.298,37.0,28.5,16.7,91.2,87.6,69.3,79.3
55,56,Kazakhstan,0.267,26.0,29.9,20.1,95.3,98.8,67.7,77.9
56,57,Barbados,0.35700000000000004,52.0,48.4,19.6,89.5,87.7,65.9,76.6
58,59,Bulgaria,0.212,5.0,35.9,20.4,93.0,95.7,47.9,59.0
60,60,Panama,0.45399999999999996,85.0,78.5,19.3,54.0,49.9,49.0,81.8
61,62,Malaysia,0.209,29.0,5.7,14.2,65.1,71.3,44.4,75.5
62,63,Mauritius,0.419,73.0,30.9,11.6,49.4,58.0,43.6,74.2
64,64,Trinidad and Tobago,0.371,84.0,34.8,24.7,59.7,60.9,53.0,75.5
65,66,Serbia,0.17600000000000002,16.0,16.9,34.0,58.4,73.6,44.5,60.9
66,67,Cuba,0.35600000000000004,80.0,43.1,48.9,74.3,78.8,43.4,70.0
67,67,Lebanon,0.385,16.0,12.0,3.1,53.0,55.4,23.3,70.9
68,69,Costa Rica,0.349,38.0,60.8,33.3,50.7,50.5,46.6,79.0
69,69,Iran (Islamic Republic of),0.515,23.0,31.6,3.1,62.2,67.6,16.6,73.6
70,71,Venezuela (Bolivarian Republic of),0.47600000000000003,110.0,83.2,17.0,56.6,50.8,51.1,79.2
71,72,Turkey,0.359,20.0,30.9,14.4,39.0,60.0,29.4,70.8
72,73,Sri Lanka,0.37,29.0,16.9,5.8,72.7,76.4,35.1,76.3
73,74,Mexico,0.373,49.0,63.4,37.1,55.7,60.6,45.1,79.9
74,75,Brazil,0.457,69.0,70.8,9.6,54.6,52.4,59.4,80.8
75,76,Georgia,0.382,41.0,46.8,11.3,89.7,92.7,56.5,75.1
