GDP Value,Cost,pte_value,se_value,Sex_Index,TIME_Index,GDPsubject,Impexp_Index,Country_Index
1102723.05,246949.7,38.14,7.89,1,1,0,0,30
1102723.05,246949.7,13.65,11.97,2,1,0,0,30
1102723.05,246949.7,24.88,10.1,0,1,0,0,30
1102723.05,254201.7,38.14,7.89,1,1,0,1,30
1102723.05,254201.7,13.65,11.97,2,1,0,1,30
1102723.05,254201.7,24.88,10.1,0,1,0,1,30
1116293.11,238300.4,38.33,7.98,1,0,0,0,30
1116293.11,238300.4,14.03,12.05,2,0,0,0,30
1116293.11,238300.4,25.21,10.18,0,0,0,0,30
1116293.11,240425.8,38.33,7.98,1,0,0,1,30
1116293.11,240425.8,14.03,12.05,2,0,0,1,30
1116293.11,240425.8,25.21,10.18,0,0,0,1,30
1128361.01,207262.8,37.97,8.15,1,2,0,0,30
1128361.01,207262.8,14.29,12.11,2,2,0,0,30
1128361.01,207262.8,25.24,10.28,0,2,0,0,30
1128361.01,188096.6,37.97,8.15,1,2,0,1,30
1128361.01,188096.6,14.29,12.11,2,2,0,1,30
1128361.01,188096.6,25.24,10.28,0,2,0,1,30
1181218.13,198519,38.35,8.13,1,3,0,0,30
1181218.13,198519,15.06,11.71,2,3,0,0,30
1181218.13,198519,25.9,10.04,0,3,0,0,30
1181218.13,192569.5,38.35,8.13,1,3,0,1,30
1181218.13,192569.5,15.06,11.71,2,3,0,1,30
1181218.13,192569.5,25.9,10.04,0,3,0,1,30
46972.96,246949.7,38.14,7.89,1,1,0,0,30
46972.96,246949.7,13.65,11.97,2,1,0,0,30
46972.96,246949.7,24.88,10.1,0,1,0,0,30
46972.96,254201.7,38.14,7.89,1,1,0,1,30
46972.96,254201.7,13.65,11.97,2,1,0,1,30
46972.96,254201.7,24.88,10.1,0,1,0,1,30
46871.56,238300.4,38.33,7.98,1,0,0,0,30
46871.56,238300.4,14.03,12.05,2,0,0,0,30
46871.56,238300.4,25.21,10.18,0,0,0,0,30
46871.56,240425.8,38.33,7.98,1,0,0,1,30
46871.56,240425.8,14.03,12.05,2,0,0,1,30
46871.56,240425.8,25.21,10.18,0,0,0,1,30
46644.03,207262.8,37.97,8.15,1,2,0,0,30
46644.03,207262.8,14.29,12.11,2,2,0,0,30
46644.03,207262.8,25.24,10.28,0,2,0,0,30
46644.03,188096.6,37.97,8.15,1,2,0,1,30
46644.03,188096.6,14.29,12.11,2,2,0,1,30
46644.03,188096.6,25.24,10.28,0,2,0,1,30
48021.88,198519,38.35,8.13,1,3,0,0,30
48021.88,198519,15.06,11.71,2,3,0,0,30
48021.88,198519,25.9,10.04,0,3,0,0,30
48021.88,192569.5,38.35,8.13,1,3,0,1,30
48021.88,192569.5,15.06,11.71,2,3,0,1,30
48021.88,192569.5,25.9,10.04,0,3,0,1,30
406370.24,165526.9,33.42,10.55,1,1,0,0,7
406370.24,165526.9,7.9,15.54,2,1,0,0,7
406370.24,165526.9,19.86,13.2,0,1,0,0,7
406370.24,164204.7,33.42,10.55,1,1,0,1,7
406370.24,164204.7,7.9,15.54,2,1,0,1,7
406370.24,164204.7,19.86,13.2,0,1,0,1,7
416955.05,166206.5,34.93,10.52,1,0,0,0,7
416955.05,166206.5,8.47,15.75,2,0,0,0,7
416955.05,166206.5,20.94,13.29,0,0,0,0,7
416955.05,167318.3,34.93,10.52,1,0,0,1,7
416955.05,167318.3,8.47,15.75,2,0,0,1,7
416955.05,167318.3,20.94,13.29,0,0,0,1,7
431124.37,140503.4,34.98,10.39,1,2,0,0,7
431124.37,140503.4,8.58,15.33,2,2,0,0,7
431124.37,140503.4,21.03,13,0,2,0,0,7
431124.37,142823,34.98,10.39,1,2,0,1,7
431124.37,142823,8.58,15.33,2,2,0,1,7
431124.37,142823,21.03,13,0,2,0,1,7
441389.29,142235.6,34.71,10.04,1,3,0,0,7
441389.29,142235.6,8.57,15.1,2,3,0,0,7
441389.29,142235.6,20.89,12.72,0,3,0,0,7
441389.29,142571.8,34.71,10.04,1,3,0,1,7
441389.29,142571.8,8.57,15.1,2,3,0,1,7
441389.29,142571.8,20.89,12.72,0,3,0,1,7
461582.96,157799.4,34.75,9.85,1,4,0,0,7
461582.96,157799.4,8.63,14.63,2,4,0,0,7
461582.96,157799.4,20.94,12.38,0,4,0,0,7
461582.96,156436.6,34.75,9.85,1,4,0,1,7
461582.96,156436.6,8.63,14.63,2,4,0,1,7
461582.96,156436.6,20.94,12.38,0,4,0,1,7
47936.68,165526.9,33.42,10.55,1,1,0,0,7
47936.68,165526.9,7.9,15.54,2,1,0,0,7
47936.68,165526.9,19.86,13.2,0,1,0,0,7
47936.68,164204.7,33.42,10.55,1,1,0,1,7
47936.68,164204.7,7.9,15.54,2,1,0,1,7
47936.68,164204.7,19.86,13.2,0,1,0,1,7
48801.31,166206.5,34.93,10.52,1,0,0,0,7
48801.31,166206.5,8.47,15.75,2,0,0,0,7
48801.31,166206.5,20.94,13.29,0,0,0,0,7
48801.31,167318.3,34.93,10.52,1,0,0,1,7
48801.31,167318.3,8.47,15.75,2,0,0,1,7
48801.31,167318.3,20.94,13.29,0,0,0,1,7
