,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,GDP Value
0,AUS,GDP,TOT,MLN_USD,A,1960,25029.0336
1,AUS,GDP,TOT,MLN_USD,A,1961,25320.6787
2,AUS,GDP,TOT,MLN_USD,A,1962,27905.9382
3,AUS,GDP,TOT,MLN_USD,A,1963,30378.5632
4,AUS,GDP,TOT,MLN_USD,A,1964,32687.4079
5,AUS,GDP,TOT,MLN_USD,A,1965,34481.4258
6,AUS,GDP,TOT,MLN_USD,A,1966,38275.4368
7,AUS,GDP,TOT,MLN_USD,A,1967,40994.175
8,AUS,GDP,TOT,MLN_USD,A,1968,46477.0639
9,AUS,GDP,TOT,MLN_USD,A,1969,52119.205
10,AUS,GDP,TOT,MLN_USD,A,1970,58886.1074
11,AUS,GDP,TOT,MLN_USD,A,1971,64171.6399
12,AUS,GDP,TOT,MLN_USD,A,1972,69847.9051
13,AUS,GDP,TOT,MLN_USD,A,1973,78860.4446
14,AUS,GDP,TOT,MLN_USD,A,1974,86331.9369
15,AUS,GDP,TOT,MLN_USD,A,1975,96861.1374
16,AUS,GDP,TOT,MLN_USD,A,1976,104279.979
17,AUS,GDP,TOT,MLN_USD,A,1977,110259.1513
18,AUS,GDP,TOT,MLN_USD,A,1978,123303.4917
19,AUS,GDP,TOT,MLN_USD,A,1979,137883.756
20,AUS,GDP,TOT,MLN_USD,A,1980,154905.0807
21,AUS,GDP,TOT,MLN_USD,A,1981,177937.6346
22,AUS,GDP,TOT,MLN_USD,A,1982,181619.4601
23,AUS,GDP,TOT,MLN_USD,A,1983,196245.91199999998
24,AUS,GDP,TOT,MLN_USD,A,1984,211218.2544
25,AUS,GDP,TOT,MLN_USD,A,1985,228899.9924
26,AUS,GDP,TOT,MLN_USD,A,1986,239124.1532
27,AUS,GDP,TOT,MLN_USD,A,1987,261225.6872
28,AUS,GDP,TOT,MLN_USD,A,1988,282612.1455
29,AUS,GDP,TOT,MLN_USD,A,1989,299413.5537
30,AUS,GDP,TOT,MLN_USD,A,1990,303650.9199
31,AUS,GDP,TOT,MLN_USD,A,1991,313322.9582
32,AUS,GDP,TOT,MLN_USD,A,1992,333959.0347
33,AUS,GDP,TOT,MLN_USD,A,1993,354859.7221
34,AUS,GDP,TOT,MLN_USD,A,1994,380518.1968
35,AUS,GDP,TOT,MLN_USD,A,1995,402742.0711
36,AUS,GDP,TOT,MLN_USD,A,1996,423263.6197
37,AUS,GDP,TOT,MLN_USD,A,1997,449564.3636
38,AUS,GDP,TOT,MLN_USD,A,1998,476744.8766
39,AUS,GDP,TOT,MLN_USD,A,1999,509548.5562
40,AUS,GDP,TOT,MLN_USD,A,2000,537537.2573
41,AUS,GDP,TOT,MLN_USD,A,2001,567955.3871
42,AUS,GDP,TOT,MLN_USD,A,2002,599052.8081
43,AUS,GDP,TOT,MLN_USD,A,2003,634410.8408
44,AUS,GDP,TOT,MLN_USD,A,2004,675012.9205
45,AUS,GDP,TOT,MLN_USD,A,2005,717192.9626
46,AUS,GDP,TOT,MLN_USD,A,2006,773501.327
47,AUS,GDP,TOT,MLN_USD,A,2007,823954.3094
48,AUS,GDP,TOT,MLN_USD,A,2008,850737.0788
49,AUS,GDP,TOT,MLN_USD,A,2009,901035.4328
50,AUS,GDP,TOT,MLN_USD,A,2010,941984.6069
51,AUS,GDP,TOT,MLN_USD,A,2011,990568.3401
52,AUS,GDP,TOT,MLN_USD,A,2012,995952.7890000001
53,AUS,GDP,TOT,MLN_USD,A,2013,1102723.049
54,AUS,GDP,TOT,MLN_USD,A,2014,1116293.1090000002
55,AUS,GDP,TOT,MLN_USD,A,2015,1128361.006
56,AUS,GDP,TOT,MLN_USD,A,2016,1181218.129
57,AUS,GDP,TOT,MLN_USD,A,2017,1260403.745
58,AUS,GDP,TOT,USD_CAP,A,1960,2408.509071
59,AUS,GDP,TOT,USD_CAP,A,1961,2379.169582
60,AUS,GDP,TOT,USD_CAP,A,1962,2572.910414
61,AUS,GDP,TOT,USD_CAP,A,1963,2747.828019
62,AUS,GDP,TOT,USD_CAP,A,1964,2897.709644
63,AUS,GDP,TOT,USD_CAP,A,1965,2996.975488
64,AUS,GDP,TOT,USD_CAP,A,1966,3270.051273
65,AUS,GDP,TOT,USD_CAP,A,1967,3441.34523
66,AUS,GDP,TOT,USD_CAP,A,1968,3826.6642079999997
67,AUS,GDP,TOT,USD_CAP,A,1969,4200.716812
68,AUS,GDP,TOT,USD_CAP,A,1970,4650.077117
69,AUS,GDP,TOT,USD_CAP,A,1971,4862.084581
70,AUS,GDP,TOT,USD_CAP,A,1972,5208.919749000001
71,AUS,GDP,TOT,USD_CAP,A,1973,5792.452765
72,AUS,GDP,TOT,USD_CAP,A,1974,6241.474421
73,AUS,GDP,TOT,USD_CAP,A,1975,6934.065613
74,AUS,GDP,TOT,USD_CAP,A,1976,7390.4456549999995
75,AUS,GDP,TOT,USD_CAP,A,1977,7720.400272
76,AUS,GDP,TOT,USD_CAP,A,1978,8544.449053
77,AUS,GDP,TOT,USD_CAP,A,1979,9442.488298
78,AUS,GDP,TOT,USD_CAP,A,1980,10461.35003
79,AUS,GDP,TOT,USD_CAP,A,1981,11819.865259999999
80,AUS,GDP,TOT,USD_CAP,A,1982,11879.17816
81,AUS,GDP,TOT,USD_CAP,A,1983,12674.522079999999
82,AUS,GDP,TOT,USD_CAP,A,1984,13472.887359999999
83,AUS,GDP,TOT,USD_CAP,A,1985,14395.71349
84,AUS,GDP,TOT,USD_CAP,A,1986,14816.75295
85,AUS,GDP,TOT,USD_CAP,A,1987,15933.602159999999
86,AUS,GDP,TOT,USD_CAP,A,1988,16935.98351
87,AUS,GDP,TOT,USD_CAP,A,1989,17678.363980000002
88,AUS,GDP,TOT,USD_CAP,A,1990,17568.32446
89,AUS,GDP,TOT,USD_CAP,A,1991,17926.09009
90,AUS,GDP,TOT,USD_CAP,A,1992,18937.50055
91,AUS,GDP,TOT,USD_CAP,A,1993,19929.78137
92,AUS,GDP,TOT,USD_CAP,A,1994,21134.14664
93,AUS,GDP,TOT,USD_CAP,A,1995,22098.57288
94,AUS,GDP,TOT,USD_CAP,A,1996,22974.739169999997
95,AUS,GDP,TOT,USD_CAP,A,1997,24160.25514
96,AUS,GDP,TOT,USD_CAP,A,1998,25342.189769999997
97,AUS,GDP,TOT,USD_CAP,A,1999,26777.75563
98,AUS,GDP,TOT,USD_CAP,A,2000,27888.22951
99,AUS,GDP,TOT,USD_CAP,A,2001,29133.08851
100,AUS,GDP,TOT,USD_CAP,A,2002,30376.853160000002
101,AUS,GDP,TOT,USD_CAP,A,2003,31827.642060000002
102,AUS,GDP,TOT,USD_CAP,A,2004,33454.904669999996
103,AUS,GDP,TOT,USD_CAP,A,2005,35068.84566
104,AUS,GDP,TOT,USD_CAP,A,2006,37138.28415
105,AUS,GDP,TOT,USD_CAP,A,2007,38775.78024
106,AUS,GDP,TOT,USD_CAP,A,2008,39219.474669999996
107,AUS,GDP,TOT,USD_CAP,A,2009,40897.04122
108,AUS,GDP,TOT,USD_CAP,A,2010,42165.82842
109,AUS,GDP,TOT,USD_CAP,A,2011,44155.76437
110,AUS,GDP,TOT,USD_CAP,A,2012,43062.45602
111,AUS,GDP,TOT,USD_CAP,A,2013,46972.957089999996
112,AUS,GDP,TOT,USD_CAP,A,2014,46871.561519999996
113,AUS,GDP,TOT,USD_CAP,A,2015,46644.027539999995
114,AUS,GDP,TOT,USD_CAP,A,2016,48021.87737
115,AUS,GDP,TOT,USD_CAP,A,2017,50588.149489999996
116,AUT,GDP,TOT,MLN_USD,A,1970,28628.0715
117,AUT,GDP,TOT,MLN_USD,A,1971,31619.8365
118,AUT,GDP,TOT,MLN_USD,A,1972,35036.6233
119,AUT,GDP,TOT,MLN_USD,A,1973,38748.8619
120,AUT,GDP,TOT,MLN_USD,A,1974,43895.1304
121,AUT,GDP,TOT,MLN_USD,A,1975,47786.6823
122,AUT,GDP,TOT,MLN_USD,A,1976,52716.9161
123,AUT,GDP,TOT,MLN_USD,A,1977,58831.0548
124,AUT,GDP,TOT,MLN_USD,A,1978,62829.1128
125,AUT,GDP,TOT,MLN_USD,A,1979,71659.6448
126,AUT,GDP,TOT,MLN_USD,A,1980,79474.9714
127,AUT,GDP,TOT,MLN_USD,A,1981,86769.5632
128,AUT,GDP,TOT,MLN_USD,A,1982,94005.9426
129,AUT,GDP,TOT,MLN_USD,A,1983,100622.8738
130,AUT,GDP,TOT,MLN_USD,A,1984,104246.6375
131,AUT,GDP,TOT,MLN_USD,A,1985,110270.2573
132,AUT,GDP,TOT,MLN_USD,A,1986,115084.0504
133,AUT,GDP,TOT,MLN_USD,A,1987,119621.9168
134,AUT,GDP,TOT,MLN_USD,A,1988,127890.3863
135,AUT,GDP,TOT,MLN_USD,A,1989,138027.2656
136,AUT,GDP,TOT,MLN_USD,A,1990,149353.1623
137,AUT,GDP,TOT,MLN_USD,A,1991,159635.6727
138,AUT,GDP,TOT,MLN_USD,A,1992,166692.8438
139,AUT,GDP,TOT,MLN_USD,A,1993,171557.9497
140,AUT,GDP,TOT,MLN_USD,A,1994,179417.6574
141,AUT,GDP,TOT,MLN_USD,A,1995,188046.4012
142,AUT,GDP,TOT,MLN_USD,A,1996,195186.0696
143,AUT,GDP,TOT,MLN_USD,A,1997,202486.7239
144,AUT,GDP,TOT,MLN_USD,A,1998,212603.9928
145,AUT,GDP,TOT,MLN_USD,A,1999,220639.93899999998
146,AUT,GDP,TOT,MLN_USD,A,2000,235342.9303
147,AUT,GDP,TOT,MLN_USD,A,2001,239177.4006
148,AUT,GDP,TOT,MLN_USD,A,2002,251984.7843
149,AUT,GDP,TOT,MLN_USD,A,2003,260750.0472
150,AUT,GDP,TOT,MLN_USD,A,2004,275845.7971
151,AUT,GDP,TOT,MLN_USD,A,2005,288086.7221
152,AUT,GDP,TOT,MLN_USD,A,2006,311132.208
153,AUT,GDP,TOT,MLN_USD,A,2007,326723.7622
154,AUT,GDP,TOT,MLN_USD,A,2008,343812.9764
155,AUT,GDP,TOT,MLN_USD,A,2009,341401.731
156,AUT,GDP,TOT,MLN_USD,A,2010,351656.1491
157,AUT,GDP,TOT,MLN_USD,A,2011,373031.477
158,AUT,GDP,TOT,MLN_USD,A,2012,391635.1762
159,AUT,GDP,TOT,MLN_USD,A,2013,406370.2445
160,AUT,GDP,TOT,MLN_USD,A,2014,416955.0491
161,AUT,GDP,TOT,MLN_USD,A,2015,431124.3728
162,AUT,GDP,TOT,MLN_USD,A,2016,441389.2926
163,AUT,GDP,TOT,MLN_USD,A,2017,461582.9639
164,AUT,GDP,TOT,USD_CAP,A,1970,3834.186274
165,AUT,GDP,TOT,USD_CAP,A,1971,4215.680804
166,AUT,GDP,TOT,USD_CAP,A,1972,4644.594779999999
167,AUT,GDP,TOT,USD_CAP,A,1973,5108.264528
168,AUT,GDP,TOT,USD_CAP,A,1974,5776.797781
169,AUT,GDP,TOT,USD_CAP,A,1975,6305.539334
170,AUT,GDP,TOT,USD_CAP,A,1976,6968.044666
171,AUT,GDP,TOT,USD_CAP,A,1977,7773.217806999999
172,AUT,GDP,TOT,USD_CAP,A,1978,8308.19608
173,AUT,GDP,TOT,USD_CAP,A,1979,9492.066592000001
174,AUT,GDP,TOT,USD_CAP,A,1980,10527.27686
175,AUT,GDP,TOT,USD_CAP,A,1981,11464.2473
176,AUT,GDP,TOT,USD_CAP,A,1982,12411.43452
177,AUT,GDP,TOT,USD_CAP,A,1983,13306.5421
178,AUT,GDP,TOT,USD_CAP,A,1984,13786.62268
179,AUT,GDP,TOT,USD_CAP,A,1985,14576.403240000001
180,AUT,GDP,TOT,USD_CAP,A,1986,15203.062390000001
181,AUT,GDP,TOT,USD_CAP,A,1987,15792.53531
182,AUT,GDP,TOT,USD_CAP,A,1988,16860.25598
183,AUT,GDP,TOT,USD_CAP,A,1989,18114.84612
184,AUT,GDP,TOT,USD_CAP,A,1990,19452.472019999997
185,AUT,GDP,TOT,USD_CAP,A,1991,20585.16008
186,AUT,GDP,TOT,USD_CAP,A,1992,21259.91971
187,AUT,GDP,TOT,USD_CAP,A,1993,21700.725469999998
188,AUT,GDP,TOT,USD_CAP,A,1994,22607.73559
189,AUT,GDP,TOT,USD_CAP,A,1995,23658.75995
190,AUT,GDP,TOT,USD_CAP,A,1996,24523.89462
191,AUT,GDP,TOT,USD_CAP,A,1997,25412.35969
192,AUT,GDP,TOT,USD_CAP,A,1998,26652.82895
193,AUT,GDP,TOT,USD_CAP,A,1999,27606.484239999998
194,AUT,GDP,TOT,USD_CAP,A,2000,29375.3968
195,AUT,GDP,TOT,USD_CAP,A,2001,29739.95111
196,AUT,GDP,TOT,USD_CAP,A,2002,31178.05144
197,AUT,GDP,TOT,USD_CAP,A,2003,32119.016760000002
198,AUT,GDP,TOT,USD_CAP,A,2004,33765.56574
199,AUT,GDP,TOT,USD_CAP,A,2005,35024.55748
200,AUT,GDP,TOT,USD_CAP,A,2006,37631.12782
201,AUT,GDP,TOT,USD_CAP,A,2007,39387.13901
202,AUT,GDP,TOT,USD_CAP,A,2008,41316.022639999996
203,AUT,GDP,TOT,USD_CAP,A,2009,40928.1816
204,AUT,GDP,TOT,USD_CAP,A,2010,42058.75458
205,AUT,GDP,TOT,USD_CAP,A,2011,44469.20964
206,AUT,GDP,TOT,USD_CAP,A,2012,46477.655080000004
207,AUT,GDP,TOT,USD_CAP,A,2013,47936.67796
208,AUT,GDP,TOT,USD_CAP,A,2014,48801.307069999995
209,AUT,GDP,TOT,USD_CAP,A,2015,49959.25877
210,AUT,GDP,TOT,USD_CAP,A,2016,50503.32841
211,AUT,GDP,TOT,USD_CAP,A,2017,52467.527
212,BEL,GDP,TOT,MLN_USD,A,1970,37554.5595
213,BEL,GDP,TOT,MLN_USD,A,1971,40942.4649
214,BEL,GDP,TOT,MLN_USD,A,1972,44959.9015
215,BEL,GDP,TOT,MLN_USD,A,1973,50309.0269
216,BEL,GDP,TOT,MLN_USD,A,1974,57130.9073
217,BEL,GDP,TOT,MLN_USD,A,1975,61593.7022
218,BEL,GDP,TOT,MLN_USD,A,1976,68647.3926
219,BEL,GDP,TOT,MLN_USD,A,1977,73362.056
220,BEL,GDP,TOT,MLN_USD,A,1978,80744.2774
221,BEL,GDP,TOT,MLN_USD,A,1979,89456.7715
222,BEL,GDP,TOT,MLN_USD,A,1980,101893.0716
223,BEL,GDP,TOT,MLN_USD,A,1981,111094.9175
224,BEL,GDP,TOT,MLN_USD,A,1982,118688.9641
225,BEL,GDP,TOT,MLN_USD,A,1983,123759.9766
226,BEL,GDP,TOT,MLN_USD,A,1984,131311.9752
227,BEL,GDP,TOT,MLN_USD,A,1985,137751.8509
228,BEL,GDP,TOT,MLN_USD,A,1986,143092.714
229,BEL,GDP,TOT,MLN_USD,A,1987,150128.3032
230,BEL,GDP,TOT,MLN_USD,A,1988,162723.2684
231,BEL,GDP,TOT,MLN_USD,A,1989,174914.6068
232,BEL,GDP,TOT,MLN_USD,A,1990,187075.7486
233,BEL,GDP,TOT,MLN_USD,A,1991,196845.9695
234,BEL,GDP,TOT,MLN_USD,A,1992,204414.8887
235,BEL,GDP,TOT,MLN_USD,A,1993,207265.4604
236,BEL,GDP,TOT,MLN_USD,A,1994,218507.0801
237,BEL,GDP,TOT,MLN_USD,A,1995,228383.9763
238,BEL,GDP,TOT,MLN_USD,A,1996,232446.1639
239,BEL,GDP,TOT,MLN_USD,A,1997,243499.6827
240,BEL,GDP,TOT,MLN_USD,A,1998,250421.8816
241,BEL,GDP,TOT,MLN_USD,A,1999,262228.592
242,BEL,GDP,TOT,MLN_USD,A,2000,286871.0179
243,BEL,GDP,TOT,MLN_USD,A,2001,298131.4711
244,BEL,GDP,TOT,MLN_USD,A,2002,314972.1581
245,BEL,GDP,TOT,MLN_USD,A,2003,322223.5137
246,BEL,GDP,TOT,MLN_USD,A,2004,336076.6049
247,BEL,GDP,TOT,MLN_USD,A,2005,349276.761
248,BEL,GDP,TOT,MLN_USD,A,2006,373301.1436
249,BEL,GDP,TOT,MLN_USD,A,2007,391729.718
250,BEL,GDP,TOT,MLN_USD,A,2008,408408.7386
251,BEL,GDP,TOT,MLN_USD,A,2009,410288.2333
252,BEL,GDP,TOT,MLN_USD,A,2010,436814.9437
253,BEL,GDP,TOT,MLN_USD,A,2011,455705.2637
254,BEL,GDP,TOT,MLN_USD,A,2012,471332.4746
255,BEL,GDP,TOT,MLN_USD,A,2013,486673.7112
256,BEL,GDP,TOT,MLN_USD,A,2014,499939.4805
257,BEL,GDP,TOT,MLN_USD,A,2015,512016.4929
258,BEL,GDP,TOT,MLN_USD,A,2016,525969.1212
259,BEL,GDP,TOT,MLN_USD,A,2017,544041.9709
260,BEL,GDP,TOT,USD_CAP,A,1970,3901.650108
261,BEL,GDP,TOT,USD_CAP,A,1971,4238.238262
262,BEL,GDP,TOT,USD_CAP,A,1972,4636.853981
263,BEL,GDP,TOT,USD_CAP,A,1973,5173.07431
264,BEL,GDP,TOT,USD_CAP,A,1974,5856.498557
265,BEL,GDP,TOT,USD_CAP,A,1975,6296.575847
266,BEL,GDP,TOT,USD_CAP,A,1976,7006.213075
267,BEL,GDP,TOT,USD_CAP,A,1977,7479.010356999999
268,BEL,GDP,TOT,USD_CAP,A,1978,8224.903378
269,BEL,GDP,TOT,USD_CAP,A,1979,9105.90509
270,BEL,GDP,TOT,USD_CAP,A,1980,10335.0311
271,BEL,GDP,TOT,USD_CAP,A,1981,11269.51892
272,BEL,GDP,TOT,USD_CAP,A,1982,12042.30561
273,BEL,GDP,TOT,USD_CAP,A,1983,12559.364379999999
274,BEL,GDP,TOT,USD_CAP,A,1984,13324.40134
275,BEL,GDP,TOT,USD_CAP,A,1985,13975.02799
276,BEL,GDP,TOT,USD_CAP,A,1986,14513.917640000001
277,BEL,GDP,TOT,USD_CAP,A,1987,15210.5677
278,BEL,GDP,TOT,USD_CAP,A,1988,16430.05537
279,BEL,GDP,TOT,USD_CAP,A,1989,17597.04293
280,BEL,GDP,TOT,USD_CAP,A,1990,18767.63128
281,BEL,GDP,TOT,USD_CAP,A,1991,19672.79328
282,BEL,GDP,TOT,USD_CAP,A,1992,20345.86332
283,BEL,GDP,TOT,USD_CAP,A,1993,20549.81761
284,BEL,GDP,TOT,USD_CAP,A,1994,21600.14632
285,BEL,GDP,TOT,USD_CAP,A,1995,22529.74019
286,BEL,GDP,TOT,USD_CAP,A,1996,22885.316909999998
287,BEL,GDP,TOT,USD_CAP,A,1997,23917.06932
288,BEL,GDP,TOT,USD_CAP,A,1998,24543.94606
289,BEL,GDP,TOT,USD_CAP,A,1999,25643.32017
290,BEL,GDP,TOT,USD_CAP,A,2000,27984.686169999997
291,BEL,GDP,TOT,USD_CAP,A,2001,28981.381460000004
292,BEL,GDP,TOT,USD_CAP,A,2002,30482.15989
293,BEL,GDP,TOT,USD_CAP,A,2003,31054.694839999996
294,BEL,GDP,TOT,USD_CAP,A,2004,32249.938089999996
295,BEL,GDP,TOT,USD_CAP,A,2005,33331.11566
296,BEL,GDP,TOT,USD_CAP,A,2006,35390.70379
297,BEL,GDP,TOT,USD_CAP,A,2007,36865.20967
298,BEL,GDP,TOT,USD_CAP,A,2008,38133.4023
299,BEL,GDP,TOT,USD_CAP,A,2009,38003.726689999996
300,BEL,GDP,TOT,USD_CAP,A,2010,40089.477210000005
301,BEL,GDP,TOT,USD_CAP,A,2011,41450.36053
302,BEL,GDP,TOT,USD_CAP,A,2012,42585.15311
303,BEL,GDP,TOT,USD_CAP,A,2013,43745.95156
304,BEL,GDP,TOT,USD_CAP,A,2014,44717.30595
305,BEL,GDP,TOT,USD_CAP,A,2015,45561.17574
306,BEL,GDP,TOT,USD_CAP,A,2016,46566.5446
307,BEL,GDP,TOT,USD_CAP,A,2017,47941.66117
308,CAN,GDP,TOT,MLN_USD,A,1970,98753.8565
309,CAN,GDP,TOT,MLN_USD,A,1971,108041.1042
310,CAN,GDP,TOT,MLN_USD,A,1972,118856.9252
311,CAN,GDP,TOT,MLN_USD,A,1973,134053.0654
312,CAN,GDP,TOT,MLN_USD,A,1974,151487.4903
313,CAN,GDP,TOT,MLN_USD,A,1975,168534.7267
314,CAN,GDP,TOT,MLN_USD,A,1976,187029.1021
315,CAN,GDP,TOT,MLN_USD,A,1977,205499.5565
316,CAN,GDP,TOT,MLN_USD,A,1978,228623.3055
317,CAN,GDP,TOT,MLN_USD,A,1979,256915.3278
318,CAN,GDP,TOT,MLN_USD,A,1980,286142.5001
319,CAN,GDP,TOT,MLN_USD,A,1981,323817.2301
320,CAN,GDP,TOT,MLN_USD,A,1982,332894.0524
321,CAN,GDP,TOT,MLN_USD,A,1983,355029.9786
322,CAN,GDP,TOT,MLN_USD,A,1984,389410.4894
323,CAN,GDP,TOT,MLN_USD,A,1985,420894.9799
324,CAN,GDP,TOT,MLN_USD,A,1986,438669.6138
325,CAN,GDP,TOT,MLN_USD,A,1987,468289.7836
326,CAN,GDP,TOT,MLN_USD,A,1988,506152.7621
327,CAN,GDP,TOT,MLN_USD,A,1989,538052.2808
328,CAN,GDP,TOT,MLN_USD,A,1990,558816.8605
329,CAN,GDP,TOT,MLN_USD,A,1991,565143.0412
330,CAN,GDP,TOT,MLN_USD,A,1992,583129.5916
331,CAN,GDP,TOT,MLN_USD,A,1993,612855.6274
332,CAN,GDP,TOT,MLN_USD,A,1994,654022.5781
333,CAN,GDP,TOT,MLN_USD,A,1995,685541.4527
334,CAN,GDP,TOT,MLN_USD,A,1996,709302.4016
335,CAN,GDP,TOT,MLN_USD,A,1997,752318.5152
336,CAN,GDP,TOT,MLN_USD,A,1998,790003.1995
337,CAN,GDP,TOT,MLN_USD,A,1999,843506.5208
338,CAN,GDP,TOT,MLN_USD,A,2000,898024.6847
339,CAN,GDP,TOT,MLN_USD,A,2001,934754.5473
340,CAN,GDP,TOT,MLN_USD,A,2002,967558.4379
341,CAN,GDP,TOT,MLN_USD,A,2003,1019620.3829999999
342,CAN,GDP,TOT,MLN_USD,A,2004,1079987.408
343,CAN,GDP,TOT,MLN_USD,A,2005,1167581.235
344,CAN,GDP,TOT,MLN_USD,A,2006,1238000.732
345,CAN,GDP,TOT,MLN_USD,A,2007,1297164.505
346,CAN,GDP,TOT,MLN_USD,A,2008,1339060.553
347,CAN,GDP,TOT,MLN_USD,A,2009,1304488.287
348,CAN,GDP,TOT,MLN_USD,A,2010,1361136.052
349,CAN,GDP,TOT,MLN_USD,A,2011,1427466.543
350,CAN,GDP,TOT,MLN_USD,A,2012,1464565.336
351,CAN,GDP,TOT,MLN_USD,A,2013,1550269.8059999999
352,CAN,GDP,TOT,MLN_USD,A,2014,1617564.49
353,CAN,GDP,TOT,MLN_USD,A,2015,1599827.514
354,CAN,GDP,TOT,MLN_USD,A,2016,1625361.3469999998
355,CAN,GDP,TOT,MLN_USD,A,2017,1714447.053
356,CAN,GDP,TOT,USD_CAP,A,1970,4555.027261
357,CAN,GDP,TOT,USD_CAP,A,1971,4919.449356
358,CAN,GDP,TOT,USD_CAP,A,1972,5349.466577
359,CAN,GDP,TOT,USD_CAP,A,1973,5960.092232999999
360,CAN,GDP,TOT,USD_CAP,A,1974,6641.866721
361,CAN,GDP,TOT,USD_CAP,A,1975,7282.233251000001
362,CAN,GDP,TOT,USD_CAP,A,1976,7975.719977
363,CAN,GDP,TOT,USD_CAP,A,1977,8661.422756999998
364,CAN,GDP,TOT,USD_CAP,A,1978,9540.598788
365,CAN,GDP,TOT,USD_CAP,A,1979,10615.65856
366,CAN,GDP,TOT,USD_CAP,A,1980,11671.82195
367,CAN,GDP,TOT,USD_CAP,A,1981,13046.66958
368,CAN,GDP,TOT,USD_CAP,A,1982,13253.765220000001
369,CAN,GDP,TOT,USD_CAP,A,1983,13996.04456
370,CAN,GDP,TOT,USD_CAP,A,1984,15207.15755
371,CAN,GDP,TOT,USD_CAP,A,1985,16287.171680000001
372,CAN,GDP,TOT,USD_CAP,A,1986,16807.085880000002
373,CAN,GDP,TOT,USD_CAP,A,1987,17706.99318
374,CAN,GDP,TOT,USD_CAP,A,1988,18892.11488
375,CAN,GDP,TOT,USD_CAP,A,1989,19725.65167
376,CAN,GDP,TOT,USD_CAP,A,1990,20180.350140000002
377,CAN,GDP,TOT,USD_CAP,A,1991,20156.742
378,CAN,GDP,TOT,USD_CAP,A,1992,20553.52879
379,CAN,GDP,TOT,USD_CAP,A,1993,21365.196780000002
380,CAN,GDP,TOT,USD_CAP,A,1994,22551.98711
381,CAN,GDP,TOT,USD_CAP,A,1995,23395.47392
382,CAN,GDP,TOT,USD_CAP,A,1996,23954.64976
