,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Cost
0,AUS,TRADEGOOD,EXP,MLN_USD,A,2013,254201.7
1,AUS,TRADEGOOD,EXP,MLN_USD,A,2014,240425.8
2,AUS,TRADEGOOD,EXP,MLN_USD,A,2015,188096.6
3,AUS,TRADEGOOD,EXP,MLN_USD,A,2016,192569.5
4,AUS,TRADEGOOD,EXP,MLN_USD,A,2017,231442.9
5,AUT,TRADEGOOD,EXP,MLN_USD,A,2013,164204.7
6,AUT,TRADEGOOD,EXP,MLN_USD,A,2014,167318.3
7,AUT,TRADEGOOD,EXP,MLN_USD,A,2015,142823.0
8,AUT,TRADEGOOD,EXP,MLN_USD,A,2016,142571.8
9,AUT,TRADEGOOD,EXP,MLN_USD,A,2017,156436.6
10,AUT,TRADEGOOD,IMP,MLN_USD,A,2013,165526.9
11,AUT,TRADEGOOD,IMP,MLN_USD,A,2014,166206.5
12,AUT,TRADEGOOD,IMP,MLN_USD,A,2015,140503.4
13,AUT,TRADEGOOD,IMP,MLN_USD,A,2016,142235.6
14,AUT,TRADEGOOD,IMP,MLN_USD,A,2017,157799.4
15,BEL,TRADEGOOD,EXP,MLN_USD,A,2013,312609.5
16,BEL,TRADEGOOD,EXP,MLN_USD,A,2014,310312.5
17,BEL,TRADEGOOD,EXP,MLN_USD,A,2015,253439.0
18,BEL,TRADEGOOD,EXP,MLN_USD,A,2016,274433.3
19,BEL,TRADEGOOD,EXP,MLN_USD,A,2017,300584.9
20,BEL,TRADEGOOD,IMP,MLN_USD,A,2013,321398.8
21,BEL,TRADEGOOD,IMP,MLN_USD,A,2014,317347.2
22,BEL,TRADEGOOD,IMP,MLN_USD,A,2015,251903.7
23,BEL,TRADEGOOD,IMP,MLN_USD,A,2016,273182.6
24,BEL,TRADEGOOD,IMP,MLN_USD,A,2017,300332.4
25,CAN,TRADEGOOD,EXP,MLN_USD,A,2013,465209.2
26,CAN,TRADEGOOD,EXP,MLN_USD,A,2014,479168.0
27,CAN,TRADEGOOD,EXP,MLN_USD,A,2015,410688.3
28,CAN,TRADEGOOD,EXP,MLN_USD,A,2016,393440.0
29,CAN,TRADEGOOD,EXP,MLN_USD,A,2017,423402.5
30,CAN,TRADEGOOD,IMP,MLN_USD,A,2013,473116.9
31,CAN,TRADEGOOD,IMP,MLN_USD,A,2014,474937.9
32,CAN,TRADEGOOD,IMP,MLN_USD,A,2015,429256.3
33,CAN,TRADEGOOD,IMP,MLN_USD,A,2016,412960.0
34,CAN,TRADEGOOD,IMP,MLN_USD,A,2017,441856.4
35,CZE,TRADEGOOD,EXP,MLN_USD,A,2013,137083.5
36,CZE,TRADEGOOD,EXP,MLN_USD,A,2014,146442.3
37,CZE,TRADEGOOD,EXP,MLN_USD,A,2015,128213.8
38,CZE,TRADEGOOD,EXP,MLN_USD,A,2016,130560.7
39,CZE,TRADEGOOD,EXP,MLN_USD,A,2017,144470.9
40,CZE,TRADEGOOD,IMP,MLN_USD,A,2013,128547.3
41,CZE,TRADEGOOD,IMP,MLN_USD,A,2014,135846.1
42,CZE,TRADEGOOD,IMP,MLN_USD,A,2015,120568.1
43,CZE,TRADEGOOD,IMP,MLN_USD,A,2016,120508.1
44,CZE,TRADEGOOD,IMP,MLN_USD,A,2017,134167.5
45,DNK,TRADEGOOD,EXP,MLN_USD,A,2013,116851.2
46,DNK,TRADEGOOD,EXP,MLN_USD,A,2014,119208.8
47,DNK,TRADEGOOD,EXP,MLN_USD,A,2015,103383.3
48,DNK,TRADEGOOD,EXP,MLN_USD,A,2016,104098.7
49,DNK,TRADEGOOD,EXP,MLN_USD,A,2017,113337.7
