,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
0,AUS,PARTEMP,TOT,PC_EMP,A,2001,23.75882466
1,AUS,PARTEMP,TOT,PC_EMP,A,2002,24.02780547
2,AUS,PARTEMP,TOT,PC_EMP,A,2003,24.32089956
3,AUS,PARTEMP,TOT,PC_EMP,A,2004,23.76877202
4,AUS,PARTEMP,TOT,PC_EMP,A,2005,23.99514829
5,AUS,PARTEMP,TOT,PC_EMP,A,2006,23.93033535
6,AUS,PARTEMP,TOT,PC_EMP,A,2007,23.732289899999998
7,AUS,PARTEMP,TOT,PC_EMP,A,2008,23.7595516
8,AUS,PARTEMP,TOT,PC_EMP,A,2009,24.59863499
9,AUS,PARTEMP,TOT,PC_EMP,A,2010,24.84530824
10,AUS,PARTEMP,TOT,PC_EMP,A,2011,24.65798961
11,AUS,PARTEMP,TOT,PC_EMP,A,2012,24.564308899999997
12,AUS,PARTEMP,TOT,PC_EMP,A,2013,24.88420388
13,AUS,PARTEMP,TOT,PC_EMP,A,2014,25.20848057
14,AUS,PARTEMP,TOT,PC_EMP,A,2015,25.24137393
15,AUS,PARTEMP,TOT,PC_EMP,A,2016,25.89578485
16,AUS,PARTEMP,TOT,PC_EMP,A,2017,25.73043633
17,AUT,PARTEMP,TOT,PC_EMP,A,1995,11.09849739
18,AUT,PARTEMP,TOT,PC_EMP,A,1996,10.90131819
19,AUT,PARTEMP,TOT,PC_EMP,A,1997,10.77208437
20,AUT,PARTEMP,TOT,PC_EMP,A,1998,11.49522907
21,AUT,PARTEMP,TOT,PC_EMP,A,1999,12.28889941
22,AUT,PARTEMP,TOT,PC_EMP,A,2000,11.74568956
23,AUT,PARTEMP,TOT,PC_EMP,A,2001,12.68095952
24,AUT,PARTEMP,TOT,PC_EMP,A,2002,13.30482207
25,AUT,PARTEMP,TOT,PC_EMP,A,2003,13.68317662
26,AUT,PARTEMP,TOT,PC_EMP,A,2004,15.33490747
27,AUT,PARTEMP,TOT,PC_EMP,A,2005,16.43098848
28,AUT,PARTEMP,TOT,PC_EMP,A,2006,16.95884637
29,AUT,PARTEMP,TOT,PC_EMP,A,2007,17.34535255
30,AUT,PARTEMP,TOT,PC_EMP,A,2008,17.8415867
31,AUT,PARTEMP,TOT,PC_EMP,A,2009,18.68802087
32,AUT,PARTEMP,TOT,PC_EMP,A,2010,19.16699077
33,AUT,PARTEMP,TOT,PC_EMP,A,2011,19.015248899999996
34,AUT,PARTEMP,TOT,PC_EMP,A,2012,19.43662073
35,AUT,PARTEMP,TOT,PC_EMP,A,2013,19.86355598
36,AUT,PARTEMP,TOT,PC_EMP,A,2014,20.93923668
37,AUT,PARTEMP,TOT,PC_EMP,A,2015,21.02654847
38,AUT,PARTEMP,TOT,PC_EMP,A,2016,20.88913163
39,AUT,PARTEMP,TOT,PC_EMP,A,2017,20.94025611
40,BEL,PARTEMP,TOT,PC_EMP,A,1983,9.758870457
41,BEL,PARTEMP,TOT,PC_EMP,A,1984,10.76751196
42,BEL,PARTEMP,TOT,PC_EMP,A,1985,11.53289412
43,BEL,PARTEMP,TOT,PC_EMP,A,1986,11.65501123
44,BEL,PARTEMP,TOT,PC_EMP,A,1987,12.49887964
45,BEL,PARTEMP,TOT,PC_EMP,A,1988,12.72590748
46,BEL,PARTEMP,TOT,PC_EMP,A,1989,12.99979557
47,BEL,PARTEMP,TOT,PC_EMP,A,1990,13.51450635
48,BEL,PARTEMP,TOT,PC_EMP,A,1991,14.61762525
49,BEL,PARTEMP,TOT,PC_EMP,A,1992,14.33872822
50,BEL,PARTEMP,TOT,PC_EMP,A,1993,14.66402647
51,BEL,PARTEMP,TOT,PC_EMP,A,1994,14.62111006
52,BEL,PARTEMP,TOT,PC_EMP,A,1995,14.56226774
53,BEL,PARTEMP,TOT,PC_EMP,A,1996,14.79065965
54,BEL,PARTEMP,TOT,PC_EMP,A,1997,15.04460179
55,BEL,PARTEMP,TOT,PC_EMP,A,1998,15.59890891
56,BEL,PARTEMP,TOT,PC_EMP,A,1999,19.90167533
57,BEL,PARTEMP,TOT,PC_EMP,A,2000,19.26277042
58,BEL,PARTEMP,TOT,PC_EMP,A,2001,17.58766593
59,BEL,PARTEMP,TOT,PC_EMP,A,2002,17.59775175
60,BEL,PARTEMP,TOT,PC_EMP,A,2003,18.29945038
61,BEL,PARTEMP,TOT,PC_EMP,A,2004,18.53921303
62,BEL,PARTEMP,TOT,PC_EMP,A,2005,18.52233922
63,BEL,PARTEMP,TOT,PC_EMP,A,2006,18.66348427
64,BEL,PARTEMP,TOT,PC_EMP,A,2007,18.08417836
65,BEL,PARTEMP,TOT,PC_EMP,A,2008,18.317155800000002
66,BEL,PARTEMP,TOT,PC_EMP,A,2009,18.24411496
67,BEL,PARTEMP,TOT,PC_EMP,A,2010,18.32104417
68,BEL,PARTEMP,TOT,PC_EMP,A,2011,18.79329785
69,BEL,PARTEMP,TOT,PC_EMP,A,2012,18.67178355
70,BEL,PARTEMP,TOT,PC_EMP,A,2013,18.21250909
71,BEL,PARTEMP,TOT,PC_EMP,A,2014,18.12644954
72,BEL,PARTEMP,TOT,PC_EMP,A,2015,18.15268227
73,BEL,PARTEMP,TOT,PC_EMP,A,2016,17.77411875
74,BEL,PARTEMP,TOT,PC_EMP,A,2017,16.39465129
75,CAN,PARTEMP,TOT,PC_EMP,A,1976,12.5097587
76,CAN,PARTEMP,TOT,PC_EMP,A,1977,13.04040395
77,CAN,PARTEMP,TOT,PC_EMP,A,1978,13.222694899999999
78,CAN,PARTEMP,TOT,PC_EMP,A,1979,13.76872832
79,CAN,PARTEMP,TOT,PC_EMP,A,1980,14.29417552
80,CAN,PARTEMP,TOT,PC_EMP,A,1981,14.8233106
81,CAN,PARTEMP,TOT,PC_EMP,A,1982,15.92424863
82,CAN,PARTEMP,TOT,PC_EMP,A,1983,16.78942172
83,CAN,PARTEMP,TOT,PC_EMP,A,1984,16.75316164
84,CAN,PARTEMP,TOT,PC_EMP,A,1985,17.04586427
85,CAN,PARTEMP,TOT,PC_EMP,A,1986,16.9261025
86,CAN,PARTEMP,TOT,PC_EMP,A,1987,16.64989621
87,CAN,PARTEMP,TOT,PC_EMP,A,1988,16.81693979
88,CAN,PARTEMP,TOT,PC_EMP,A,1989,16.6411321
89,CAN,PARTEMP,TOT,PC_EMP,A,1990,16.96849192
90,CAN,PARTEMP,TOT,PC_EMP,A,1991,18.14333199
91,CAN,PARTEMP,TOT,PC_EMP,A,1992,18.55864645
92,CAN,PARTEMP,TOT,PC_EMP,A,1993,19.21782802
93,CAN,PARTEMP,TOT,PC_EMP,A,1994,18.9450131
94,CAN,PARTEMP,TOT,PC_EMP,A,1995,18.80119865
95,CAN,PARTEMP,TOT,PC_EMP,A,1996,19.09353963
96,CAN,PARTEMP,TOT,PC_EMP,A,1997,19.09066372
97,CAN,PARTEMP,TOT,PC_EMP,A,1998,18.81386361
98,CAN,PARTEMP,TOT,PC_EMP,A,1999,18.39407942
99,CAN,PARTEMP,TOT,PC_EMP,A,2000,18.10478637
100,CAN,PARTEMP,TOT,PC_EMP,A,2001,18.11285354
101,CAN,PARTEMP,TOT,PC_EMP,A,2002,18.76758403
102,CAN,PARTEMP,TOT,PC_EMP,A,2003,18.96699349
103,CAN,PARTEMP,TOT,PC_EMP,A,2004,18.53598124
104,CAN,PARTEMP,TOT,PC_EMP,A,2005,18.4178848
105,CAN,PARTEMP,TOT,PC_EMP,A,2006,18.17948806
106,CAN,PARTEMP,TOT,PC_EMP,A,2007,18.30033006
107,CAN,PARTEMP,TOT,PC_EMP,A,2008,18.56420938
108,CAN,PARTEMP,TOT,PC_EMP,A,2009,19.29169655
109,CAN,PARTEMP,TOT,PC_EMP,A,2010,19.56343511
110,CAN,PARTEMP,TOT,PC_EMP,A,2011,19.29099774
111,CAN,PARTEMP,TOT,PC_EMP,A,2012,18.96027444
112,CAN,PARTEMP,TOT,PC_EMP,A,2013,19.09849269
113,CAN,PARTEMP,TOT,PC_EMP,A,2014,19.29019014
114,CAN,PARTEMP,TOT,PC_EMP,A,2015,18.88316547
115,CAN,PARTEMP,TOT,PC_EMP,A,2016,19.18811836
116,CAN,PARTEMP,TOT,PC_EMP,A,2017,19.140614399999997
117,CZE,PARTEMP,TOT,PC_EMP,A,1993,3.6254345189999997
118,CZE,PARTEMP,TOT,PC_EMP,A,1994,3.6011880489999997
119,CZE,PARTEMP,TOT,PC_EMP,A,1995,3.449420664
120,CZE,PARTEMP,TOT,PC_EMP,A,1996,3.412295308
121,CZE,PARTEMP,TOT,PC_EMP,A,1997,3.409297884
122,CZE,PARTEMP,TOT,PC_EMP,A,1998,3.3057738239999996
123,CZE,PARTEMP,TOT,PC_EMP,A,1999,3.3848483860000003
124,CZE,PARTEMP,TOT,PC_EMP,A,2000,3.226651972
125,CZE,PARTEMP,TOT,PC_EMP,A,2001,3.234604721
126,CZE,PARTEMP,TOT,PC_EMP,A,2002,2.91173429
127,CZE,PARTEMP,TOT,PC_EMP,A,2003,3.1764636310000003
128,CZE,PARTEMP,TOT,PC_EMP,A,2004,3.07758068
129,CZE,PARTEMP,TOT,PC_EMP,A,2005,3.2668950289999996
130,CZE,PARTEMP,TOT,PC_EMP,A,2006,3.31782289
131,CZE,PARTEMP,TOT,PC_EMP,A,2007,3.488839459
132,CZE,PARTEMP,TOT,PC_EMP,A,2008,3.469270264
133,CZE,PARTEMP,TOT,PC_EMP,A,2009,3.8869150269999997
134,CZE,PARTEMP,TOT,PC_EMP,A,2010,4.321034991
135,CZE,PARTEMP,TOT,PC_EMP,A,2011,3.901113806
136,CZE,PARTEMP,TOT,PC_EMP,A,2012,4.337309572
137,CZE,PARTEMP,TOT,PC_EMP,A,2013,4.899425736
138,CZE,PARTEMP,TOT,PC_EMP,A,2014,4.760107373
139,CZE,PARTEMP,TOT,PC_EMP,A,2015,4.683773864
140,CZE,PARTEMP,TOT,PC_EMP,A,2016,4.946839235
141,CZE,PARTEMP,TOT,PC_EMP,A,2017,5.362375688
142,DNK,PARTEMP,TOT,PC_EMP,A,1983,20.55832314
143,DNK,PARTEMP,TOT,PC_EMP,A,1984,21.16535546
144,DNK,PARTEMP,TOT,PC_EMP,A,1985,20.32026658
145,DNK,PARTEMP,TOT,PC_EMP,A,1986,19.62744502
146,DNK,PARTEMP,TOT,PC_EMP,A,1987,19.86666055
147,DNK,PARTEMP,TOT,PC_EMP,A,1988,18.9874821
148,DNK,PARTEMP,TOT,PC_EMP,A,1989,18.87640745
149,DNK,PARTEMP,TOT,PC_EMP,A,1990,19.1550652
150,DNK,PARTEMP,TOT,PC_EMP,A,1991,18.70780785
151,DNK,PARTEMP,TOT,PC_EMP,A,1992,18.91692188
152,DNK,PARTEMP,TOT,PC_EMP,A,1993,18.97203924
153,DNK,PARTEMP,TOT,PC_EMP,A,1994,17.309041399999998
154,DNK,PARTEMP,TOT,PC_EMP,A,1995,16.88812027
155,DNK,PARTEMP,TOT,PC_EMP,A,1996,16.60721694
156,DNK,PARTEMP,TOT,PC_EMP,A,1997,17.17810882
157,DNK,PARTEMP,TOT,PC_EMP,A,1998,17.11221356
158,DNK,PARTEMP,TOT,PC_EMP,A,1999,15.27826507
