,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
0,AUS,SELFEMP,MEN,PC_EMP,A,1965,17.83953
1,AUS,SELFEMP,MEN,PC_EMP,A,1966,17.130110000000002
2,AUS,SELFEMP,MEN,PC_EMP,A,1967,16.43956
3,AUS,SELFEMP,MEN,PC_EMP,A,1968,16.03339
4,AUS,SELFEMP,MEN,PC_EMP,A,1969,15.41714
5,AUS,SELFEMP,MEN,PC_EMP,A,1970,15.47962
6,AUS,SELFEMP,MEN,PC_EMP,A,1971,15.40121
7,AUS,SELFEMP,MEN,PC_EMP,A,1972,15.511510000000001
8,AUS,SELFEMP,MEN,PC_EMP,A,1973,15.527379999999999
9,AUS,SELFEMP,MEN,PC_EMP,A,1974,15.9483
10,AUS,SELFEMP,MEN,PC_EMP,A,1975,15.97494
11,AUS,SELFEMP,MEN,PC_EMP,A,1976,17.00751
12,AUS,SELFEMP,MEN,PC_EMP,A,1977,17.65919
13,AUS,SELFEMP,MEN,PC_EMP,A,1978,17.129170000000002
14,AUS,SELFEMP,MEN,PC_EMP,A,1979,17.6967
15,AUS,SELFEMP,MEN,PC_EMP,A,1980,17.790010000000002
16,AUS,SELFEMP,MEN,PC_EMP,A,1981,17.24004
17,AUS,SELFEMP,MEN,PC_EMP,A,1982,17.33805
18,AUS,SELFEMP,MEN,PC_EMP,A,1983,17.36829
19,AUS,SELFEMP,MEN,PC_EMP,A,1984,17.653010000000002
20,AUS,SELFEMP,MEN,PC_EMP,A,1985,16.89562
21,AUS,SELFEMP,MEN,PC_EMP,A,1986,16.99351
22,AUS,SELFEMP,MEN,PC_EMP,A,1987,16.83304
23,AUS,SELFEMP,MEN,PC_EMP,A,1988,16.8992
24,AUS,SELFEMP,MEN,PC_EMP,A,1989,16.43936
25,AUS,SELFEMP,MEN,PC_EMP,A,1990,16.44772
26,AUS,SELFEMP,MEN,PC_EMP,A,1991,17.05384
27,AUS,SELFEMP,MEN,PC_EMP,A,1992,17.292720000000003
28,AUS,SELFEMP,MEN,PC_EMP,A,1993,17.704639999999998
29,AUS,SELFEMP,MEN,PC_EMP,A,1994,17.123089999999998
30,AUS,SELFEMP,MEN,PC_EMP,A,1995,16.86883
31,AUS,SELFEMP,MEN,PC_EMP,A,1996,16.49699
32,AUS,SELFEMP,MEN,PC_EMP,A,1997,16.19359
33,AUS,SELFEMP,MEN,PC_EMP,A,1998,15.99787
34,AUS,SELFEMP,MEN,PC_EMP,A,1999,16.064239999999998
35,AUS,SELFEMP,MEN,PC_EMP,A,2000,15.98671
36,AUS,SELFEMP,MEN,PC_EMP,A,2001,15.993279999999999
37,AUS,SELFEMP,MEN,PC_EMP,A,2002,16.13658
38,AUS,SELFEMP,MEN,PC_EMP,A,2003,15.8563
39,AUS,SELFEMP,MEN,PC_EMP,A,2004,15.365829999999999
40,AUS,SELFEMP,MEN,PC_EMP,A,2005,15.02157
41,AUS,SELFEMP,MEN,PC_EMP,A,2006,14.575529999999999
42,AUS,SELFEMP,MEN,PC_EMP,A,2007,14.08298
43,AUS,SELFEMP,MEN,PC_EMP,A,2008,13.71566
44,AUS,SELFEMP,MEN,PC_EMP,A,2009,13.919329999999999
45,AUS,SELFEMP,MEN,PC_EMP,A,2010,13.77405
46,AUS,SELFEMP,MEN,PC_EMP,A,2011,13.21892
47,AUS,SELFEMP,MEN,PC_EMP,A,2012,12.21318
48,AUS,SELFEMP,MEN,PC_EMP,A,2013,11.96755
49,AUS,SELFEMP,MEN,PC_EMP,A,2014,12.04906
50,AUS,SELFEMP,MEN,PC_EMP,A,2015,12.1109
51,AUS,SELFEMP,MEN,PC_EMP,A,2016,11.70648
52,AUS,SELFEMP,TOT,PC_EMP,A,1964,16.37193
53,AUS,SELFEMP,TOT,PC_EMP,A,1965,15.988760000000001
54,AUS,SELFEMP,TOT,PC_EMP,A,1966,15.6108
55,AUS,SELFEMP,TOT,PC_EMP,A,1967,14.77273
56,AUS,SELFEMP,TOT,PC_EMP,A,1968,14.386989999999999
57,AUS,SELFEMP,TOT,PC_EMP,A,1969,13.9178
58,AUS,SELFEMP,TOT,PC_EMP,A,1970,13.86549
59,AUS,SELFEMP,TOT,PC_EMP,A,1971,13.703970000000002
60,AUS,SELFEMP,TOT,PC_EMP,A,1972,13.83595
61,AUS,SELFEMP,TOT,PC_EMP,A,1973,13.651229999999998
62,AUS,SELFEMP,TOT,PC_EMP,A,1974,14.08893
63,AUS,SELFEMP,TOT,PC_EMP,A,1975,14.31889
64,AUS,SELFEMP,TOT,PC_EMP,A,1976,15.0522
65,AUS,SELFEMP,TOT,PC_EMP,A,1977,15.8832
66,AUS,SELFEMP,TOT,PC_EMP,A,1978,15.58177
67,AUS,SELFEMP,TOT,PC_EMP,A,1979,15.91491
68,AUS,SELFEMP,TOT,PC_EMP,A,1980,16.01618
69,AUS,SELFEMP,TOT,PC_EMP,A,1981,15.577129999999999
70,AUS,SELFEMP,TOT,PC_EMP,A,1982,15.62614
71,AUS,SELFEMP,TOT,PC_EMP,A,1983,15.60702
72,AUS,SELFEMP,TOT,PC_EMP,A,1984,15.607070000000002
73,AUS,SELFEMP,TOT,PC_EMP,A,1985,15.03445
74,AUS,SELFEMP,TOT,PC_EMP,A,1986,15.315170000000002
75,AUS,SELFEMP,TOT,PC_EMP,A,1987,15.01189
76,AUS,SELFEMP,TOT,PC_EMP,A,1988,15.06831
77,AUS,SELFEMP,TOT,PC_EMP,A,1989,14.487960000000001
78,AUS,SELFEMP,TOT,PC_EMP,A,1990,14.43366
79,AUS,SELFEMP,TOT,PC_EMP,A,1991,14.94005
80,AUS,SELFEMP,TOT,PC_EMP,A,1992,15.038429999999998
81,AUS,SELFEMP,TOT,PC_EMP,A,1993,15.35481
82,AUS,SELFEMP,TOT,PC_EMP,A,1994,14.879920000000002
83,AUS,SELFEMP,TOT,PC_EMP,A,1995,14.55846
84,AUS,SELFEMP,TOT,PC_EMP,A,1996,14.23104
85,AUS,SELFEMP,TOT,PC_EMP,A,1997,14.17805
86,AUS,SELFEMP,TOT,PC_EMP,A,1998,13.68025
87,AUS,SELFEMP,TOT,PC_EMP,A,1999,13.66896
88,AUS,SELFEMP,TOT,PC_EMP,A,2000,13.52428
89,AUS,SELFEMP,TOT,PC_EMP,A,2001,13.36004
90,AUS,SELFEMP,TOT,PC_EMP,A,2002,13.496479999999998
91,AUS,SELFEMP,TOT,PC_EMP,A,2003,13.129079999999998
92,AUS,SELFEMP,TOT,PC_EMP,A,2004,12.79167
93,AUS,SELFEMP,TOT,PC_EMP,A,2005,12.596969999999999
94,AUS,SELFEMP,TOT,PC_EMP,A,2006,12.08922
95,AUS,SELFEMP,TOT,PC_EMP,A,2007,11.68755
96,AUS,SELFEMP,TOT,PC_EMP,A,2008,11.47017
97,AUS,SELFEMP,TOT,PC_EMP,A,2009,11.52073
98,AUS,SELFEMP,TOT,PC_EMP,A,2010,11.51698
99,AUS,SELFEMP,TOT,PC_EMP,A,2011,11.07373
100,AUS,SELFEMP,TOT,PC_EMP,A,2012,10.37947
101,AUS,SELFEMP,TOT,PC_EMP,A,2013,10.09544
102,AUS,SELFEMP,TOT,PC_EMP,A,2014,10.17861
103,AUS,SELFEMP,TOT,PC_EMP,A,2015,10.2787
104,AUS,SELFEMP,TOT,PC_EMP,A,2016,10.04107
105,AUS,SELFEMP,WOMEN,PC_EMP,A,1965,10.245389999999999
106,AUS,SELFEMP,WOMEN,PC_EMP,A,1966,11.82573
107,AUS,SELFEMP,WOMEN,PC_EMP,A,1967,11.08545
108,AUS,SELFEMP,WOMEN,PC_EMP,A,1968,10.74893
109,AUS,SELFEMP,WOMEN,PC_EMP,A,1969,10.672360000000001
110,AUS,SELFEMP,WOMEN,PC_EMP,A,1970,10.54895
111,AUS,SELFEMP,WOMEN,PC_EMP,A,1971,10.22523
112,AUS,SELFEMP,WOMEN,PC_EMP,A,1972,10.42062
113,AUS,SELFEMP,WOMEN,PC_EMP,A,1973,9.898183
114,AUS,SELFEMP,WOMEN,PC_EMP,A,1974,10.53152
115,AUS,SELFEMP,WOMEN,PC_EMP,A,1975,11.20255
116,AUS,SELFEMP,WOMEN,PC_EMP,A,1976,11.42446
117,AUS,SELFEMP,WOMEN,PC_EMP,A,1977,12.63406
118,AUS,SELFEMP,WOMEN,PC_EMP,A,1978,12.43418
119,AUS,SELFEMP,WOMEN,PC_EMP,A,1979,12.70284
120,AUS,SELFEMP,WOMEN,PC_EMP,A,1980,12.914810000000001
121,AUS,SELFEMP,WOMEN,PC_EMP,A,1981,12.69107
122,AUS,SELFEMP,WOMEN,PC_EMP,A,1982,12.675289999999999
123,AUS,SELFEMP,WOMEN,PC_EMP,A,1983,12.65762
124,AUS,SELFEMP,WOMEN,PC_EMP,A,1984,12.233410000000001
125,AUS,SELFEMP,WOMEN,PC_EMP,A,1985,12.0474
126,AUS,SELFEMP,WOMEN,PC_EMP,A,1986,12.72177
127,AUS,SELFEMP,WOMEN,PC_EMP,A,1987,12.25811
128,AUS,SELFEMP,WOMEN,PC_EMP,A,1988,12.34587
